epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,169.496216917,0.1,10.131515487,169.496216917,66.0930547714,7.73665976524,66.0930547714
1,56.57614949,0.1,5.75214977264,56.57614949,35.0378422737,5.37723040581,35.0378422737
2,116.361455072,0.1,8.8285586675,116.361455072,36.8443918228,5.51509094238,36.8443918228
3,148.559901927,0.1,9.72461547852,148.559901927,71.0922966003,8.03386998177,71.0922966003
4,94.5211908062,0.1,7.90467027028,94.5211908062,79.8025665283,8.55772829056,79.8025665283
5,134.532339975,0.1,8.76642338435,134.532339975,46.1597819328,6.3295276165,46.1597819328
6,123.106898242,0.1,8.89834810893,123.106898242,297.674530029,17.0846509933,297.674530029
7,114.401266547,0.1,8.69261395137,114.401266547,174.850067139,13.0479230881,174.850067139
8,123.760283283,0.1,9.87943514188,123.760283283,318.957481384,17.7279872894,318.957481384
9,203.561163712,0.1,11.7536470095,203.561163712,118.973911285,10.7589268684,118.973911285
10,110.298616834,0.1,8.87396459579,110.298616834,167.119655609,12.7399201393,167.119655609
11,164.746576816,0.1,9.6441646258,164.746576816,513.037078857,22.4766836166,513.037078857
12,205.21135575,0.1,11.9012249788,205.21135575,186.976516724,13.5905013084,186.976516724
13,123.131372706,0.05,9.77037207286,123.131372706,183.376621246,13.3620185852,183.376621246
14,107.052713235,0.05,8.22369041443,107.052713235,135.536464691,11.3110890388,135.536464691
15,102.046914264,0.05,7.57773249944,102.046914264,326.981864929,17.284362793,326.981864929
16,124.866825517,0.05,9.40449514389,124.866825517,406.609397888,19.6658010483,406.609397888
17,94.2112532775,0.05,8.27072661718,94.2112532775,697.617645264,25.5968875885,697.617645264
18,113.948233823,0.05,9.06764609019,113.948233823,1322.38397217,36.2301750183,1322.38397217
19,70.271969223,0.05,7.71214281718,70.271969223,1725.40557861,41.2156677246,1725.40557861
20,127.662277587,0.05,9.43451531728,127.662277587,1227.00665283,34.9113521576,1227.00665283
21,123.539716311,0.05,8.88363898595,123.539716311,670.70022583,25.8367033005,670.70022583
22,109.984750018,0.05,8.025633653,109.984750018,1190.83554077,34.2662525177,1190.83554077
23,85.0427170475,0.025,7.89203850428,85.0427170475,596.79385376,24.4199790955,596.79385376
24,82.5393468777,0.025,7.99801117579,82.5393468777,694.169250488,26.2550859451,694.169250488
25,78.2855852379,0.025,7.67958536148,78.2855852379,1177.03744507,33.9509029388,1177.03744507
26,82.0461904027,0.025,6.5137447993,82.0461904027,2943.2064209,53.8431911469,2943.2064209
27,74.9720228196,0.025,7.3362648646,74.9720228196,1777.03015137,41.9291419983,1777.03015137
28,74.1611502012,0.025,7.91411698659,74.1611502012,2604.95672607,50.4954853058,2604.95672607
29,79.0191246803,0.025,7.53281876246,79.0191246803,5123.13220215,71.1371192932,5123.13220215
30,60.1589350065,0.025,6.83587732315,60.1589350065,6707.55419922,81.8928451538,6707.55419922
31,72.6445591529,0.025,7.03829785983,72.6445591529,10741.9980469,102.975379944,10741.9980469
