epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,562815.010221,1.0,252.362644704,201900.404858,3093576640.0,46688.1728516,3093246416.0
1,248791.447917,1.0,62.5358615239,6139.97330254,234453416.0,15263.7299805,234304776.0
2,225636.08125,1.0,41.9405342023,4098.8176644,6201002240.0,78208.75,6200696576.0
3,231974.630208,1.0,33.8420887311,1638.70137444,16983964.25,3831.83630371,16839837.5
4,220099.116667,1.0,25.426287206,893.52003835,18260444160.0,134740.617188,18260139008.0
5,230069.594792,1.0,11.2566073736,206.108808866,12368243.5,3169.77508545,12224297.125
6,219644.583333,1.0,16.5702128092,535.921988787,53298475008.0,222490.539063,53298174976.0
7,1223664.47396,1.0,435.771124013,993821.002303,4470911800.0,54740.0029297,4470768152.0
8,265099.176042,1.0,169.432851283,45994.6416402,1.19977843098e+12,1075162.96875,1.19977823437e+12
9,249356.159375,1.0,123.04512914,19513.4262115,8793479936.0,92908.9257813,8793335808.0
10,249201.898958,1.0,127.317283185,30097.4812671,35865845760.0,185122.515625,35865545728.0
11,253255.084375,1.0,140.689759191,23412.3748657,4850986880.0,68872.0566406,4850842368.0
12,222367.822917,1.0,45.2634267171,3263.40998659,15110548992.0,116060.882813,15110244096.0
13,232116.596875,1.0,41.0106908798,2273.85820134,1680345552.0,36962.7568359,1680201504.0
14,221034.533333,1.0,37.7304506938,1930.10860189,9.73425698406e+12,2964489.0,9.73425685299e+12
15,527954.99375,1.0,382.693417613,298112.273321,129973940224.0,359389.171875,129973800960.0
16,257035.814583,1.0,152.223210208,37931.3966019,3.58643938099e+12,1887063.0625,3.58643911885e+12
17,127399.108333,0.5,39.6155701955,2310.71282177,5454321152.0,64824.4433594,5454239872.0
18,124423.507292,0.5,105.121808052,14300.0357697,33788966528.0,154969.951172,33788824832.0
19,124836.522917,0.5,82.5496701558,10486.4202492,5256659584.0,67951.0039063,5256578496.0
20,120475.759375,0.5,90.3809622447,10352.2597687,459861278720.0,660518.234375,459861180416.0
21,120142.50625,0.5,67.5118971507,5792.41099345,82680113152.0,254067.792969,82680039424.0
22,114139.205729,0.5,53.486594073,4015.71330325,2.33448883814e+12,1381328.03125,2.33448877261e+12
23,121515.968229,0.5,70.7565333049,7165.86290792,161435232256.0,377739.773438,161435160576.0
24,117130.922917,0.5,53.4700418472,7007.4366808,8.26438110413e+12,2857749.75,8.26438110413e+12
25,116419.072396,0.5,40.178437233,2068.97881332,31481372352.0,139709.507813,31481293120.0
26,110806.824479,0.5,23.9171364466,683.319758479,44954294144.0,173177.865234,44954148352.0
27,62193.4701823,0.25,11.9058168729,220.537550343,53951979520.0,232275.585938,53951946752.0
28,54716.5334635,0.25,11.78812898,225.480240719,440488640336.0,476002.588379,440488567312.0
29,58155.3061198,0.25,16.2713055611,409.548761749,192132538368.0,438329.234375,192132521984.0
30,55457.125,0.25,28.2798008919,966.070636622,1.80577908096e+12,993943.921875,1.80577904102e+12
31,57904.7395833,0.25,10.4208295186,158.985756365,765639688192.0,875008.375,765639688192.0
32,54667.7752604,0.25,10.8423575719,176.731583397,2.03069027123e+12,1297251.375,2.03069023846e+12
33,58728.8014323,0.25,25.7801102956,983.046244258,904922136576.0,951273.4375,904922136576.0
34,54761.609375,0.25,12.921685791,270.56013813,959022956544.0,979193.875,959022891008.0
35,58063.9104167,0.25,15.3794898987,318.152571925,253656039424.0,503637.609375,253656023040.0
