epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,21241.775293,0.1,10.4676312447,172.381742042,24844.1425781,10.9463467598,125.614490509
1,14834.7655111,0.1,7.85991881688,100.779122039,3885.38012695,2.64440155029,13.2420111382
2,12908.5565592,0.1,7.60594046911,94.9510452524,23065.5898438,3.33034849167,15.1376599669
3,14123.8304688,0.1,9.03847750028,136.36806426,3780.77197266,11.0572843552,128.51512146
4,12757.2463542,0.1,8.07908372879,98.3673282186,22989.859375,6.26673173904,59.8238953352
5,13993.9244466,0.1,7.04353183905,107.963102156,3657.75732422,2.86303329468,14.4451863244
6,12426.3678223,0.1,7.80504789352,91.1025016626,22031.796875,24.2454309464,588.441131592
7,12255.1540527,0.1,11.3432302793,169.589316479,3652.5201416,2.50028085709,9.62237371504
8,10305.2429199,0.1,9.87892223994,136.341068172,17708.8242188,7.89604711533,81.6170773506
9,11154.7689779,0.1,6.05853738785,53.5982341616,3687.01367188,6.15738725662,44.1638464928
10,10266.210319,0.1,7.59662555059,97.3300157944,17658.796875,5.03383636475,31.6000127792
11,11226.2391439,0.1,8.78826621373,125.069598766,3726.44592285,8.79153442383,83.5955066681
12,10312.5932292,0.1,10.1270795107,143.712727133,17690.3544922,7.50983333588,63.1550540924
13,11189.7977214,0.1,8.48600769043,88.6271321515,3744.66333008,9.76516151428,101.812847137
14,10231.553597,0.1,6.10690883001,62.6719292541,17655.3007813,4.58045101166,28.098995924
15,11274.7875163,0.1,10.8015454769,173.617127421,3772.69750977,11.1095504761,129.847328186
16,10297.0614746,0.1,8.22475423813,128.180838388,17724.3544922,9.80994176865,97.1547698975
17,11208.1982259,0.1,8.0049524943,107.029013095,3757.77502441,10.4056856632,114.925344467
18,10292.4590169,0.1,8.47783228556,123.578288972,18133.2246094,22.4169425964,506.020339966
19,6243.63142904,0.05,9.24065157572,105.471860917,7022.47924805,5.27079105377,29.9742026329
20,5523.75983073,0.05,7.5606347084,94.5816375971,3651.00378418,2.66059875488,8.48280382156
21,5280.50515951,0.05,7.27223666509,74.6580453396,7093.19995117,9.98978233337,100.693729401
22,5540.51717122,0.05,8.61975898743,111.338044469,3686.26647949,6.02423930168,43.7445650101
23,5290.71106771,0.05,7.38067560196,84.8646471761,7008.35302734,3.69672870636,15.8507883549
24,5540.30904948,0.05,8.97286850611,111.130346772,3682.44482422,5.65010237694,39.923137188
25,5296.89820964,0.05,8.16456257502,91.0520252387,7041.94506836,6.87169981003,49.4415245056
26,5536.22430013,0.05,8.72518847783,107.045542142,3681.07958984,5.53507709503,38.556974411
27,5306.05214844,0.05,8.47892255783,100.205629714,7086.38305664,6.91611671448,93.8807200668
28,5537.0019043,0.05,8.67635052999,107.824072364,3784.69909668,11.3433389664,142.178337097
29,5320.94765625,0.05,8.58626786868,115.100991035,8936.6574707,38.7963371277,1944.15223694
30,5533.74345703,0.05,8.11438941956,104.56540005,4815.11791992,34.2429828644,1172.59509277
31,5297.16451823,0.05,8.27949314117,91.3177701881,10096.0339355,44.6914844513,3103.52958679
32,3042.51736654,0.025,7.85662603378,94.8443549143,12022.8984375,99.0688056946,9821.453125
33,2712.02084961,0.025,7.57043190002,83.751576516,3265.77844238,12.0037107468,149.711353302
34,2766.34204102,0.025,7.01209751765,77.0982883513,14617.1987305,111.404895782,12415.753418
35,2717.26163737,0.025,8.01250839233,88.9921725432,3603.95812988,22.045715332,487.889694214
36,2771.64969076,0.025,6.82642707825,82.4056309412,11953.5292969,98.7509422302,9752.08398438
37,2721.75807292,0.025,8.29448229472,93.4884826899,3770.47521973,24.995136261,654.407180786
38,2755.57931315,0.025,7.02582352956,66.3353696505,10256.7084961,89.7507247925,8055.26367188
39,2703.67026367,0.025,6.96961599986,75.4008556558,3510.35571289,17.3627948761,394.287174225
40,2781.08440755,0.025,7.96418647766,91.8402985175,16515.0844727,119.568637848,14313.6396484
41,2725.84485677,0.025,8.37049045563,97.5751910528,4828.36376953,40.2495632172,1712.29544067
42,2766.35688477,0.025,7.24130369822,77.1123914202,17427.8603516,123.38420105,15226.4140625
43,2713.94373372,0.025,7.51241531372,85.6745745659,5037.87133789,43.1970272064,1921.8036499
44,2773.03649089,0.025,7.44026327133,83.792565914,15305.3901367,114.471805573,13103.9453125
45,1468.85118001,0.0125,7.70111255646,81.335372297,1526.35644531,9.15171051025,101.944252014
46,1411.41656087,0.0125,6.94697891871,75.7029882083,1237.17718506,1.23310565948,2.83324457682
47,1393.66812337,0.0125,7.27005058924,70.6257524941,3083.01904297,40.291305542,1658.60705566
48,1410.33465169,0.0125,6.68206017812,74.6208907902,1260.84069824,5.1415553093,26.4967508316
49,1402.79593913,0.0125,7.3832244873,79.7535070121,1567.10595703,9.49540996552,142.694155693
50,1411.40935872,0.0125,7.37085345586,75.6958320697,1292.61981201,7.63008499146,58.2755622864
51,1412.16464844,0.0125,7.61191568375,89.1219738505,2447.69677734,31.772693634,1023.28494263
52,1410.6960612,0.0125,7.23689479828,74.9824378014,1614.11212158,19.4595403671,379.768295288
53,1410.84591471,0.0125,8.00224240621,87.8034635862,1845.05438232,15.298034668,420.642239451
54,1420.65725098,0.0125,7.46965128581,84.9435607354,2277.33789063,32.2734193802,1042.99349976
55,1399.14965007,0.0125,7.66970265706,76.1073597272,1850.0692749,15.6825194359,425.657555819
56,1404.27897949,0.0125,6.98299128215,68.5653421526,4483.9543457,56.9865264893,3249.60986328
57,1397.63177897,0.0125,7.27062079112,74.5895261606,1593.57745361,11.4794874191,169.166049957
58,796.946370443,0.00625,7.6227238973,81.6090698525,884.934906006,15.5544490814,250.273727417
59,739.19050293,0.00625,6.98470668793,76.5031306446,5089.77880859,66.21352005,4395.06188965
60,732.903308105,0.00625,6.78492768606,66.2122811079,680.940582275,5.94441604614,46.2793269157
61,741.859110514,0.00625,7.22687975566,79.1716902643,5981.13208008,72.5990943909,5286.41479492
62,744.545711263,0.00625,7.566320165,77.8546419541,648.673461914,3.73889923096,14.0122117996
63,738.138818359,0.00625,7.61451342901,75.4514901002,6336.30151367,74.9616470337,5641.58422852
64,728.39642334,0.00625,6.73786036174,61.7053889036,667.000335693,4.35935783386,32.3390110135
65,734.480554199,0.00625,7.02452691396,71.7933236339,5739.63671875,70.8389930725,5044.91967773
66,750.417089844,0.00625,7.43208878835,83.7260780334,717.996917725,7.79400801659,83.3356180191
67,734.518115234,0.00625,6.99735914866,71.83070093,3189.17529297,49.6086006165,2494.45825195
68,741.193115234,0.00625,7.24801683426,74.501990437,935.932342529,16.4934339523,301.270950317
69,735.037731934,0.00625,7.19207201004,72.3504321496,3659.01245117,54.1790084839,2964.29541016
70,729.995996094,0.00625,6.49325771332,63.3050155918,774.222900391,10.4861516953,139.561733246
71,728.593798828,0.00625,6.75765279134,65.9064909895,2541.65539551,42.7067565918,1846.93804932
72,739.666255697,0.00625,7.21881205241,72.9752673235,2094.3236084,37.8595199585,1459.66210938
73,736.259476725,0.00625,7.40139058431,73.5722012202,1758.6072998,32.4974184036,1063.89038086
74,427.791802979,0.003125,7.11113669078,71.2890684466,741.554321289,20.019411087,407.332717896
75,403.729197184,0.003125,6.88290831248,71.2594499032,7554.36132813,84.9592628479,7223.89404297
76,397.273647054,0.003125,6.53014065425,65.054129079,745.078582764,20.1012105942,410.856887817
77,392.652575684,0.003125,6.33133945465,60.1828200956,9297.16552734,94.6620330811,8966.69873047
78,407.720996094,0.003125,7.61497866313,75.5015463511,771.262908936,20.7339076996,437.041229248
79,400.46823527,0.003125,6.91860376994,67.9984987974,10082.7055664,98.7238388062,9752.23876953
80,411.216965739,0.003125,7.36659056346,78.9974701564,769.774078369,20.6858119965,435.552230835
81,413.279675293,0.003125,7.33497079213,80.8099337583,10943.7866211,102.992523193,10613.3198242
82,397.754384359,0.003125,6.5696902593,65.5348797083,864.121612549,22.8402166367,529.899932861
83,395.67201945,0.003125,6.28952115377,63.2022731104,10850.4458008,102.538703918,10519.9790039
84,251.907623291,0.0015625,7.2186595281,74.7823476621,201.756202698,5.49211883545,36.428914547
85,227.226844279,0.0015625,6.64201622009,61.1109089851,503.038238525,18.1624593735,336.020996094
86,240.140889486,0.0015625,7.13030516307,73.9123220762,188.538841248,4.11249446869,23.2115381956
87,234.223631795,0.0015625,7.01439812978,68.1077071667,437.137542725,16.24761343,270.120277405
88,232.87296346,0.0015625,6.77843691508,66.6443638047,179.753730774,2.84909343719,14.4264383577
89,228.246056112,0.0015625,6.71457176208,62.1301351945,369.334869385,14.0071201324,202.3176651
90,231.872884115,0.0015625,7.07984008789,65.6442887783,174.758201599,2.51367807388,9.43091714382
91,250.866760254,0.0015625,7.62387148539,84.7508450806,317.854492188,12.0305070877,150.837268829
92,241.73825887,0.0015625,6.7632724762,75.509687678,172.970100403,2.51435756683,7.64281332493
93,232.054507446,0.0015625,6.9232430776,65.938578701,277.317626953,10.2082118988,110.300394058
94,239.683220418,0.0015625,7.01882375081,73.4546388507,172.06275177,2.51536989212,6.73544120789
95,250.053440348,0.0015625,7.43814264933,83.9375145038,256.131187439,9.11199426651,89.1139545441
96,233.522599284,0.0015625,6.74202238719,67.294008934,171.694511414,2.5161781311,6.3671541214
97,244.785878499,0.0015625,7.50548648834,78.6699625413,238.758361816,8.1022195816,71.7410497665
98,233.574788411,0.0015625,6.78714138667,67.3461976744,171.668075562,2.5165348053,6.34078550339
