epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,142.881651648,0.05,9.2270661672,142.881651648,53.4184017181,6.8679254055,53.4184017181
1,90.0677845846,0.05,7.85722688039,90.0677845846,25.6738889217,4.40725421906,25.6738889217
2,91.8867921229,0.05,7.76804326375,91.8867921229,23.2560274601,4.12383651733,23.2560274601
3,78.0456488197,0.05,7.70546134313,78.0456488197,26.2216025591,4.46895980835,26.2216025591
4,93.3151975711,0.05,7.8901743571,93.3151975711,38.2453846931,5.65644621849,38.2453846931
5,95.1107617681,0.05,7.95068085988,95.1107617681,6.43921113014,2.5,6.43921113014
6,85.9014886061,0.05,7.82033748627,85.9014886061,11.4444856513,2.5,11.4444856513
7,108.813281087,0.05,8.63577842712,108.813281087,25.7281054258,4.41340065002,25.7281054258
8,62.3406106316,0.05,6.37656958898,62.3406106316,74.1963577271,8.24295806885,74.1963577271
9,104.053999315,0.05,8.18983376821,104.053999315,21.6430600882,3.92339897156,21.6430600882
10,94.7329574714,0.05,8.08238242467,94.7329574714,2025.11431885,44.9317741394,2025.11431885
11,72.6242835042,0.05,6.63646443685,72.6242835042,2615.45410156,51.080368042,2615.45410156
12,97.9015607465,0.05,8.05906909307,97.9015607465,6647.46044922,81.4936218262,6647.46044922
13,97.4778281053,0.05,8.45034783681,97.4778281053,50392.8398438,224.469573975,50392.8398438
14,77.1655465515,0.05,6.42989242872,77.1655465515,71460.8710938,267.309967041,71460.8710938
15,84.7075373967,0.05,7.57573296229,84.7075373967,172857.4375,415.753753662,172857.4375
16,88.0644026796,0.05,7.21105864843,88.0644026796,314094.9375,560.436157227,314094.9375
17,68.3119331833,0.025,7.10357176463,68.3119331833,642867.625,801.786376953,642867.625
18,78.8470704883,0.025,7.25879751841,78.8470704883,1131473.4375,1063.70446777,1131473.4375
19,81.1925247093,0.025,7.72928698858,81.1925247093,1634583.8125,1278.50598145,1634583.8125
20,101.568597829,0.025,7.82357352575,101.568597829,3592136.125,1895.29150391,3592136.125
21,53.270390598,0.025,6.42184546789,53.270390598,18163626.0,4261.87988281,18163626.0
22,104.915135266,0.025,7.92931489944,104.915135266,20319398.0,4507.70361328,20319398.0
23,63.1297900587,0.025,6.77251415253,63.1297900587,28851523.0,5371.36083984,28851523.0
24,91.2234539628,0.025,8.49824419022,91.2234539628,54144740.0,7358.31054688,54144740.0
25,100.545420615,0.025,8.22636394501,100.545420615,80750012.0,8986.10058594,80750012.0
26,80.4254174216,0.025,7.50476125081,80.4254174216,164792712.0,12837.1611328,164792712.0
27,84.9152846018,0.0125,7.88202870687,84.9152846018,281207040.0,16769.2285156,281207040.0
28,74.0854581118,0.0125,7.15957730611,74.0854581118,539748864.0,23232.4960938,539748864.0
29,72.8361219744,0.0125,6.61003303528,72.8361219744,936241888.0,30598.0703125,936241888.0
30,73.0640743032,0.0125,6.81234645844,73.0640743032,1202530112.0,34677.515625,1202530112.0
31,91.2476442218,0.0125,8.18309294383,91.2476442218,1977162624.0,44465.296875,1977162624.0
32,82.1626035055,0.0125,7.93495276769,82.1626035055,2656952320.0,51545.6328125,2656952320.0
33,85.1010787805,0.0125,7.83069995244,85.1010787805,3052367872.0,55248.2382813,3052367872.0
34,78.1067072302,0.0125,6.87837429047,78.1067072302,4483385344.0,66958.0859375,4483385344.0
35,61.9114714583,0.0125,6.56326169968,61.9114714583,6981110272.0,83553.0390625,6981110272.0
