epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,311.205394491,0.1,9.92437785467,127.460332012,64.4280967712,3.8085308075,20.7542012334
1,174.541629155,0.1,10.6515621821,141.272906017,86.962436676,8.39913415909,76.7954521179
2,103.837999407,0.1,8.32897691727,96.4544249733,9.31849122047,2.49999904633,6.49856567383
3,81.9989779313,0.1,7.2271876653,80.2966427863,24.7096865177,4.20841789246,23.9607820511
4,100.39349669,0.1,8.22920516332,100.01597502,18.310172379,3.44986629486,18.1515777111
5,125.107672008,0.1,9.23482324282,125.024564807,98.0663146973,9.58032798767,98.0326862335
6,94.2592199485,0.1,6.97138989766,94.2412407716,14.8231063336,2.92688369751,14.8166483343
7,98.1179557847,0.1,8.09342823029,98.1140946927,30.8295419216,4.95761585236,30.8279554844
8,78.6695744326,0.1,6.90777279536,78.668739602,15.7224666923,3.07767963409,15.7221118212
9,115.720227114,0.1,9.41858819326,115.720052608,10.9923466183,2.5,10.9922739603
10,76.8674763557,0.1,6.13698254029,76.8674404306,12.1123720442,2.5,12.112356215
11,151.449281048,0.1,9.75771239599,151.449275281,97.8950710297,9.57314300537,97.8950691223
12,137.063114607,0.1,10.1304101626,137.063114425,6.64714491367,2.5,6.64714419842
13,84.3846895297,0.1,7.23705062866,84.3846894582,67.8135232925,7.84624266624,67.8135232925
14,132.992396839,0.1,9.3484228611,132.992396835,18.7717375159,3.53860664368,18.7717375159
15,106.015761693,0.1,8.78305126826,106.015761693,72.2731103897,8.12546062469,72.2731103897
16,100.818620218,0.1,8.34337625504,100.818620217,11.951061415,2.5,11.9510614146
17,95.2418178936,0.1,6.81613933245,95.2418178936,6.44184303284,2.5,6.44184303284
18,94.1674617658,0.1,7.76221755346,94.1674617658,188.454784393,13.4983253479,188.454784393
19,130.525966867,0.1,8.76766255697,130.525966867,6.33775568008,2.5,6.33775568008
20,167.604182307,0.1,11.3983962695,167.604182307,6.30540895462,2.5,6.30540895462
21,92.7875566641,0.1,7.72866315842,92.7875566641,70.0754947662,7.9890859127,70.0754947662
22,120.210905751,0.1,9.32205810547,120.210905751,10.5460795462,2.5,10.5460795462
23,140.519098695,0.1,8.85652236938,140.519098695,44.7217073441,6.20255661011,44.7217073441
24,129.088134321,0.1,9.79148378372,129.088134321,64.8025274277,7.65196228027,64.8025274277
25,179.349843459,0.1,11.1544344902,179.349843459,345.362266541,18.4150013924,345.362266541
26,151.281409613,0.1,10.7750775496,151.281409613,12.0885141827,2.5,12.0885141827
27,83.3211808593,0.1,7.49279781977,83.3211808593,15.4911587983,3.0399274826,15.4911587983
28,99.8467564464,0.1,8.41790606181,99.8467564464,14.1061486565,2.80288219452,14.1061486565
29,94.6085860491,0.1,7.18882910411,94.6085860491,7.98711371422,2.5,7.98711371422
30,96.6216054755,0.1,7.98771619797,96.6216054755,7.86865222454,2.5,7.86865222454
31,133.024680901,0.1,9.84156710307,133.024680901,17.5936681628,3.36803627014,17.5936681628
32,83.6275326827,0.05,7.33594757716,83.6275326827,6.77806758881,2.5,6.77806758881
33,80.7428505411,0.05,7.58100541433,80.7428505411,12.6985097249,2.53939151764,12.6985097249
34,94.6489448624,0.05,8.36443052292,94.6489448624,7.53415876627,2.5,7.53415876627
35,85.2923866247,0.05,7.30431642532,85.2923866247,17.7776141465,3.39523410797,17.7776141465
36,77.0185371647,0.05,6.8618106842,77.0185371647,6.57173717022,2.5,6.57173717022
37,100.5328698,0.05,9.31373583476,100.5328698,6.27103996277,2.5,6.27103996277
38,73.4398020496,0.05,6.99013729095,73.4398020496,16.2065629661,3.15540218353,16.2065629661
