epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,116.044995158,0.1,9.00838379065,116.044995158,48.7900009155,6.49189949036,48.7900009155
1,132.65914952,0.1,9.43965988159,132.65914952,11.4524300843,2.55909204483,11.4524300843
2,88.4658021927,0.1,8.01986014048,88.4658021927,20.8035619259,3.77616405487,20.8035619259
3,74.3525787471,0.1,5.75694646835,74.3525787471,119.74389267,10.6356601715,119.74389267
4,133.518676773,0.1,8.89301311175,133.518676773,9.5363779068,2.58782243729,9.5363779068
5,69.449798886,0.1,7.37914536794,69.449798886,8.42377233505,2.63990354538,8.42377233505
6,89.2467452129,0.1,7.18582146962,89.2467452129,12.7701965682,2.69258832932,12.7701965682
7,96.1403098583,0.1,8.08407255809,96.1403098583,53.5853710175,6.82720947266,53.5853710175
8,117.969153762,0.1,8.64073766073,117.969153762,12.702622789,2.59257745743,12.702622789
9,72.339271091,0.1,7.10906969706,72.339271091,13.623383075,3.02288007736,13.623383075
10,78.0351595759,0.1,7.35684251785,78.0351595759,34.3153455257,4.82577037811,34.3153455257
11,72.5365854104,0.1,7.43693205516,72.5365854104,35.6797937155,4.76227426529,35.6797937155
12,74.6375066062,0.1,7.26595490774,74.6375066062,187.690723419,13.2111682892,187.690723419
13,78.0590585391,0.1,7.50385487874,78.0590585391,46.988594532,5.28204631805,46.988594532
14,67.8678459167,0.1,7.55830338796,67.8678459167,52.232486248,6.42509317398,52.232486248
15,89.2221034857,0.1,7.79454797109,89.2221034857,52.7025151253,6.45220899582,52.7025151253
16,90.5292064905,0.1,7.80299196243,90.5292064905,129.138799667,10.6538922787,129.138799667
17,71.8881201049,0.05,7.25103740692,71.8881201049,292.392478943,16.6873340607,292.392478943
18,74.0871507426,0.05,7.30671126048,74.0871507426,473.862289429,21.4443454742,473.862289429
19,73.4950761676,0.05,7.26234817505,73.4950761676,563.363937378,23.4477930069,563.363937378
20,74.2280726115,0.05,7.70485922496,74.2280726115,775.226165771,27.6568517685,775.226165771
21,65.3456992654,0.05,6.42888177236,65.3456992654,989.185577393,31.0734653473,989.185577393
22,73.8522321224,0.05,7.2817422231,73.8522321224,1028.28930664,30.9699201584,1028.28930664
23,87.8661648871,0.05,7.18065929413,87.8661648871,1290.29840088,35.1844215393,1290.29840088
24,68.0606589953,0.05,6.65594463348,68.0606589953,1611.07818604,40.0913143158,1611.07818604
25,81.1577397883,0.05,7.60531616211,81.1577397883,1450.67102051,37.9930000305,1450.67102051
26,65.1280229727,0.05,6.65074965159,65.1280229727,1346.38659668,36.688703537,1346.38659668
27,66.6246393204,0.025,7.42135740916,66.6246393204,945.175811768,30.7101802826,945.175811768
28,70.3544621478,0.025,7.18414351145,70.3544621478,802.929382324,28.2315034866,802.929382324
29,67.9732675711,0.025,6.96461423238,67.9732675711,775.223007202,25.4757857323,775.223007202
30,69.2180089148,0.025,7.2089272817,69.2180089148,1003.9385376,31.3641996384,1003.9385376
31,63.6200941881,0.025,6.82290000916,63.6200941881,1814.49908447,42.5385074615,1814.49908447
32,79.4175493876,0.025,7.71471894582,79.4175493876,2662.32318115,51.1727848053,2662.32318115
33,70.5925290267,0.025,7.2470504125,70.5925290267,2538.8581543,50.3608894348,2538.8581543
34,67.4515906753,0.025,6.70857785543,67.4515906753,2501.89648438,46.979221344,2501.89648438
35,68.1698139913,0.025,6.97073663076,68.1698139913,1221.71635306,25.6403279305,1221.71635306
