epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,359180.931521,1.0,168.025766563,359180.931521,52.696598053,6.805798769,52.696598053
1,101.418445158,1.0,7.51077709198,101.418445158,21.5320583582,3.8909778595,21.5320583582
2,83.6129295593,1.0,6.56212622325,83.6129295593,6.35695958138,2.51907682419,6.35695958138
3,77.5809818536,1.0,7.49941151937,77.5809818536,8.06981152296,2.50496864319,8.06981152296
4,88.5269592806,1.0,7.00423348745,88.5269592806,40.3348999023,5.85242080688,40.3348999023
5,97.3026980386,1.0,7.57541723251,97.3026980386,12.4033899317,2.55205440521,12.4033899317
6,102.929858802,1.0,7.81002232234,102.929858802,1496.67022705,38.6278743744,1496.67022705
7,87732.268206,1.0,136.116286977,87732.268206,31.3920129538,4.76017093658,31.3920129538
8,99.7608451923,1.0,9.16055374146,99.7608451923,43.9743041992,5.91044330597,43.9743041992
9,87.5337726651,1.0,7.67372264862,87.5337726651,31.8140660524,4.53202867508,31.8140660524
10,88.738592195,1.0,7.15411945979,88.738592195,56.8247146606,6.62846827507,56.8247146606
11,216.582393424,1.0,11.8203363101,216.582393424,87.5728588104,7.90292453766,87.5728588104
12,63734.4592077,1.0,106.957494036,63734.4592077,21.3904102445,3.68697929382,21.3904102445
13,95.6394213557,1.0,7.72718079885,95.6394213557,57.5495952964,5.99126434326,57.5495952964
14,77.9462349017,0.5,7.71008491516,77.9462349017,29.287484169,5.29871225357,29.287484169
15,103.356420423,0.5,8.433391126,103.356420423,67.3536844254,7.68334245682,67.3536844254
16,208.018432683,0.5,11.186971283,208.018432683,322.354949951,17.0940256119,322.354949951
17,377.039239908,0.5,15.0627000809,377.039239908,48.5459012985,6.66215276718,48.5459012985
18,645.734313536,0.5,21.8409299215,645.734313536,13.3174595955,2.59095954895,13.3174595955
19,754.06814756,0.5,21.5675339063,754.06814756,817.211700439,28.2472505569,817.211700439
20,452.859007581,0.5,18.6075306257,452.859007581,419.348640442,19.0043768883,419.348640442
21,2067.63183226,0.5,29.7532633464,2067.63183226,101.850549698,9.84773874283,101.850549698
22,270.35372992,0.5,13.2176937739,270.35372992,208.021232605,14.2278871536,208.021232605
