epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,49482.3770508,0.5,38.819056193,2413.90302455,18618.6943359,39.7509422302,1647.61978149
1,29575.6301432,0.5,54.8576108932,4081.82636585,28516.7675781,26.3064460754,693.62902832
2,41921.8829427,0.5,118.794987265,18600.7701267,35157.7382813,48.5839271545,2590.85943604
3,40873.8540365,0.5,95.5537285487,17274.9595599,59442.2988281,197.52684021,39161.2109375
4,52312.7197266,0.5,135.065069644,28059.4363996,81751.625,265.732498169,70615.2773438
5,49008.466862,0.5,129.956716792,26046.5273285,45583.96875,124.333328247,15998.4121094
6,76445.3855469,0.5,188.089328384,53738.2703599,61306.9179688,156.641120911,28376.5263672
7,79504.90625,0.5,211.529520162,55914.9687988,58178.5761719,193.769729614,38504.8320313
8,60269.4705078,0.5,148.325987244,36133.373466,22982.4003906,107.654090881,11656.5458984
9,67323.2804036,0.5,183.019048945,44402.1612793,34062.9375,67.3514480591,4593.79016113
10,48626.7905599,0.5,124.008947309,25933.5329631,38368.0859375,52.6122384071,5516.49251255
11,47425.7747396,0.5,131.479050763,23857.0164633,34945.1132813,120.711143494,15271.2802734
12,30501.2220459,0.25,65.8729915619,6004.06391875,33734.09375,57.2121145725,5755.18821335
13,17888.3513184,0.25,50.1539838791,3636.30210711,17232.0498047,61.7775936127,4148.1005249
14,11497.7176921,0.25,51.1340054194,4238.713414,8402.93994141,14.3273453712,250.111541748
15,11849.5390523,0.25,34.3289803187,1745.8859525,16180.7016602,19.8653855324,659.027943611
16,11615.2899089,0.25,50.1382882118,3864.08807786,7091.77929688,21.8313293457,483.876281738
17,13140.0172282,0.25,51.8351998329,4086.03025162,9292.39599609,43.5740776062,1906.58740234
18,13210.765446,0.25,29.0244949659,1275.97859344,12713.8789063,50.6391277313,2570.7845459
19,14313.3509766,0.25,47.8588973999,3302.37649689,25540.1660156,66.0705814362,8724.93843252
20,13312.3137695,0.25,39.0604647954,2108.56864573,27986.6269531,88.0291557312,11350.0608215
21,13213.0409831,0.25,30.1934819539,1492.68171412,10027.2128906,22.3374919891,503.226806641
22,13039.2289714,0.25,26.3061979294,1122.0777538,7289.59838867,37.5784091949,1439.90258789
23,11841.9605469,0.25,19.1969190598,519.372982597,15599.2861328,27.754691124,942.439758301
24,11642.1184245,0.25,15.8894477208,412.439720388,26924.4199219,103.268463135,10695.3476563
25,12140.0298503,0.25,17.9553618908,473.508589458,9939.01416016,12.92719841,215.230918884
26,12261.3251628,0.25,14.0246043523,323.647298537,15941.0605469,101.303138733,10289.3974609
27,12120.7834635,0.25,23.0109234174,776.658048121,21898.9130859,84.8550491333,7315.77807617
28,8361.2375651,0.125,20.962501653,496.937674967,343.091125488,2.5,6.44400501251
29,4196.13050334,0.125,15.503689003,407.321688846,5049.49194336,41.3427467346,1709.22851563
30,5411.66221517,0.125,19.4932369232,573.078357395,1311.14758301,14.5537576675,218.058746338
31,5571.97611694,0.125,21.3072515806,792.570089912,9231.70654297,78.219707489,6120.95849609
32,4936.58907064,0.125,18.6179522832,488.197045974,9721.74609375,63.1340713501,3989.24572754
33,3793.95961507,0.125,13.5666099866,277.805744357,10538.4125977,64.8132514954,4399.1439209
34,4508.60157471,0.125,18.6939881325,485.13149244,28408.234375,111.973765373,19530.6625671
35,5088.46735026,0.125,21.810038058,557.081797155,4201.06542969,21.8015203476,523.049385071
36,5283.44599609,0.125,17.574102211,461.159629218,8211.83349609,79.9529800415,6396.80834961
37,5047.90667725,0.125,12.2789345423,215.012939969,11571.6870117,87.9382743835,7747.88842773
38,4678.87514852,0.125,13.4953278224,256.384450531,7725.94360352,43.9466133118,2466.38371277
39,3967.76210734,0.125,13.6512891769,380.600426388,9244.93261719,54.4705524445,3378.34387207
40,4921.01322632,0.0625,19.6099079768,474.165287228,19244.8535156,132.543022156,17571.4433594
41,1504.65402527,0.0625,10.1301679611,127.772006734,68310.7304688,256.55116272,65836.9941406
42,1720.75897217,0.0625,11.4740247409,228.793198936,22119.3271484,135.491779327,19032.1044922
43,1679.33570964,0.0625,11.6779216766,186.295881768,12228.784668,105.473091125,11130.7319336
44,1656.28423665,0.0625,17.7885730108,429.990743764,6534.67431641,75.3162994385,5678.63964844
45,1599.73588155,0.0625,13.8071987788,267.673492861,11584.1240234,93.4084472656,8886.09985352
46,1736.91726481,0.0625,13.3987865448,233.539973974,92644.1054688,286.807846069,89617.046875
47,1732.98070984,0.0625,13.3897310098,242.497757085,29631.5878906,168.844970703,28513.171875
48,1532.06841634,0.0625,14.2179596265,304.015083537,14116.7290039,115.159511566,13267.5063477
49,1507.6410614,0.0625,9.93319695791,175.043575709,23850.2612305,124.85373497,21146.5643311
50,2371.46836141,0.03125,13.1449104627,266.023869407,234019.757813,469.700134277,230734.46875
51,2245.45625,0.03125,8.68119926453,101.239674121,7410.6237793,65.1804065704,4500.56030273
52,2292.29460856,0.03125,11.2677909851,172.638860695,176295.511719,410.908370972,173083.023438
53,2423.77160238,0.03125,11.9085152944,283.868477623,19371.7636719,128.046791077,16420.5805664
54,2363.41502279,0.03125,12.0556346893,240.547316166,177027.625,405.538421631,173844.433594
55,2486.73927002,0.03125,14.7652660688,348.30081555,56355.8964844,226.303588867,53378.4931641
56,2438.30438232,0.03125,14.958377711,313.245730412,203900.257813,447.324615479,200738.757813
57,2256.06665039,0.03125,9.31079619726,118.623943742,62624.4863281,242.898475647,59626.4726563
58,2453.7037557,0.03125,13.7798050563,326.859783434,158270.148438,393.481719971,155125.757813
