epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,24754.7155965,1.0,112.657668749,24754.7155965,5637.17504883,75.0394897461,5637.17504883
1,187584.357601,1.0,323.278919474,187584.357601,493420.390625,702.434448242,493420.390625
2,768572.62474,1.0,677.373623657,768572.62474,44604.3730469,211.182678223,44604.3730469
3,1787159.6349,1.0,1138.63043009,1787159.6349,308446.28125,555.373779297,308446.28125
4,1665828.63151,1.0,903.751587423,1665828.63151,173351.1875,416.347137451,173351.1875
5,1277614.87985,1.0,822.855846151,1277614.87985,1532675.3125,1238.01013184,1532675.3125
6,2818397.01476,1.0,1368.31540833,2818397.01476,3683120.5,1919.14416504,3683120.5
7,4774257.35104,1.0,1857.14632772,4774257.35104,637594.0625,798.490966797,637594.0625
8,2538275.37422,1.0,1254.00727081,2538275.37422,2391503.5,1546.44665527,2391503.5
9,4654045.60833,1.0,1993.51660563,4654045.60833,1834444.6875,1354.41442871,1834444.6875
10,5443204.00704,1.0,1733.48531647,5443204.00704,2077138.5,1441.22595215,2077138.5
11,4544070.49609,1.0,1798.62283122,4544070.49609,1560974.6875,1249.38720703,1560974.6875
12,2290026.61484,0.5,1259.11334127,2290026.61484,804052.3125,896.686157227,804052.3125
13,1778450.4641,0.5,1112.39896393,1778450.4641,411185.578125,641.232666016,411185.578125
14,1622723.58203,0.5,1140.58646545,1622723.58203,22315.8496094,149.363983154,22315.8496094
15,467120.516398,0.5,557.588072077,467120.516398,545128.5625,738.323974609,545128.5625
16,661081.972676,0.5,604.939298693,661081.972676,355783.109375,596.470336914,355783.109375
17,453984.001587,0.5,493.508016459,453984.001587,3968186.0,1992.02905273,3968186.0
18,265071.309082,0.5,428.347818756,265071.309082,23061789.0,4802.26855469,23061789.0
19,246132.5677,0.5,392.808178711,246132.5677,39341762.0,6272.30078125,39341762.0
20,213119.373001,0.5,395.910451444,213119.373001,71249628.0,8440.94921875,71249628.0
21,259286.959733,0.5,393.122125244,259286.959733,100558300.0,10027.8759766,100558300.0
22,219339.707747,0.25,431.502663167,219339.707747,245388040.0,15664.8662109,245388040.0
23,128182.689034,0.25,281.815546799,128182.689034,319161296.0,17865.0859375,319161296.0
24,124517.223346,0.25,297.961915143,124517.223346,383471104.0,19582.4179688,383471104.0
25,118900.23514,0.25,283.190334829,118900.23514,1209801408.0,34782.1992188,1209801408.0
26,145260.39928,0.25,315.699750964,145260.39928,1251536256.0,35377.0585938,1251536256.0
27,162546.820654,0.25,312.3516126,162546.820654,1460769024.0,38220.0078125,1460769024.0
28,124244.047062,0.25,288.315875244,124244.047062,1614843008.0,40185.109375,1614843008.0
29,81975.0997838,0.25,203.831999842,81975.0997838,1396715776.0,37372.6601563,1396715776.0
30,121204.862536,0.25,266.811995951,121204.862536,3249241856.0,57002.1210938,3249241856.0
