epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,185.054348203,0.001,10.7888307412,185.054348203,170.469608307,12.8183526993,170.469608307
1,177.052116123,0.001,10.4153012594,177.052116123,172.163890839,12.8876819611,172.163890839
2,168.527466805,0.001,10.0831640323,168.527466805,169.961780548,12.8064236641,169.961780548
3,159.923188595,0.001,9.7078177611,159.923188595,161.923412323,12.4956965446,161.923412323
4,150.911193403,0.001,9.36266872088,150.911193403,152.624324799,12.1248483658,152.624324799
5,141.191747487,0.001,9.08093605042,141.191747487,142.216785431,11.6935400963,142.216785431
6,132.457723331,0.001,8.72542727788,132.457723331,134.293067932,11.3493266106,134.293067932
7,123.439971741,0.001,8.38008869489,123.439971741,112.335502625,10.323246479,112.335502625
8,116.439479911,0.001,8.07546825409,116.439479911,108.6829319,10.1228461266,108.6829319
9,108.551664266,0.001,7.70411841075,108.551664266,112.39904213,10.2524561882,112.39904213
10,103.086211551,0.001,7.38173672358,103.086211551,121.899072647,10.6358492374,121.899072647
11,97.4516765197,0.001,7.24212048848,97.4516765197,131.972810745,11.0534567833,131.972810745
12,91.3202582585,0.001,6.87847414017,91.3202582585,119.035755157,10.3965229988,119.035755157
13,87.6259989763,0.001,6.75507872899,87.6259989763,107.271125793,9.89395999908,107.271125793
14,85.6547877173,0.001,6.72451130549,85.6547877173,89.5096435547,8.94654130936,89.5096435547
15,78.788084205,0.001,6.43742144903,78.788084205,76.0217599869,7.95677351952,76.0217599869
16,78.3532523975,0.001,6.45449797312,78.3532523975,107.812728882,9.63741517067,107.812728882
17,76.6732177277,0.001,6.46941839854,76.6732177277,201.604934692,13.7781758308,201.604934692
18,73.7647356823,0.001,6.38444550832,73.7647356823,261.290546417,15.4895968437,261.290546417
19,71.7202924836,0.001,6.30157279968,71.7202924836,404.366256714,19.3297080994,404.366256714
20,71.7416138928,0.001,6.39284248352,71.7416138928,502.200458527,19.8643817902,502.200458527
21,74.3499204372,0.001,6.65798346202,74.3499204372,572.622814178,20.4695429802,572.622814178
22,69.1666137569,0.001,6.59857883453,69.1666137569,478.548709869,19.1868281364,478.548709869
23,71.7687154114,0.001,6.67073275248,71.7687154114,375.418708801,19.0077638626,375.418708801
24,70.0454468469,0.001,6.69100863139,70.0454468469,718.532897949,26.4821157455,718.532897949
25,69.5101939519,0.001,6.82604389191,69.5101939519,659.779937744,24.803401947,659.779937744
26,68.9919264793,0.001,6.7169661204,68.9919264793,996.054397583,30.3618888855,996.054397583
27,67.9817633073,0.0005,6.66331418355,67.9817633073,1379.86087799,30.5845003128,1379.86087799
28,71.2291756938,0.0005,6.75398451487,71.2291756938,1597.1627903,30.7543611526,1597.1627903
29,70.7462520997,0.0005,6.85023390452,70.7462520997,5412.07120062,52.2443299294,5412.07120062
30,70.1697026889,0.0005,6.75821590424,70.1697026889,5848.55609131,66.3460035324,5848.55609131
31,68.4523810784,0.0005,6.7691347758,68.4523810784,6516.03010559,65.4602947235,6516.03010559
32,69.7915306489,0.0005,6.77670485179,69.7915306489,4141.66411018,47.7790083885,4141.66411018
33,68.6575801909,0.0005,6.72609221141,68.6575801909,5232.41067505,58.9200601578,5232.41067505
34,70.0382415136,0.0005,6.91552721659,70.0382415136,6894.09515381,76.4651603699,6894.09515381
35,69.2879533867,0.0005,6.75512428284,69.2879533867,4399.96118164,62.5595226288,4399.96118164
36,70.6041816592,0.0005,6.8734969457,70.6041816592,4292.12878418,65.1848125458,4292.12878418
37,71.323976477,0.00025,6.98407382965,71.323976477,7698.26477051,84.7069263458,7698.26477051
38,66.7127534866,0.00025,6.71386210124,66.7127534866,5030.95080566,69.6266746521,5030.95080566
39,69.6772700628,0.00025,6.82494392395,69.6772700628,4298.66125488,63.2174873352,4298.66125488
40,67.2768572728,0.00025,6.78813247681,67.2768572728,4465.88439941,66.3972644806,4465.88439941
41,69.2803794146,0.00025,6.77497158051,69.2803794146,14410.8662109,118.820804596,14410.8662109
42,67.4526846727,0.00025,6.79838962555,67.4526846727,10254.4194336,101.158782959,10254.4194336
43,69.3680772146,0.00025,6.97428671519,69.3680772146,11140.4956055,105.531906128,11140.4956055
44,70.8025786002,0.00025,7.05079339345,70.8025786002,15074.8950195,122.64200592,15074.8950195
45,71.7626935164,0.00025,7.12297547658,71.7626935164,20522.5742188,143.249656677,20522.5742188
