epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,8721.78961589,0.1,9.1030418396,113.698568797,3154.33300781,6.19462680817,44.623401165
1,4846.52470703,0.1,9.52748479843,126.02321762,5168.8293457,8.59847855568,80.1838340759
2,4361.88448893,0.1,8.57300478617,95.052666537,4299.65698242,2.5,10.543620944
3,4347.14573568,0.1,7.25765829086,90.7818136446,4306.17578125,2.5,11.6425143983
4,4345.40431315,0.1,8.93204310735,116.227126416,2997.18066406,6.27447605133,45.6190509796
5,4181.99158529,0.1,7.4992316246,78.2414760838,5093.28344727,4.35173606873,25.1876077652
6,4265.09827474,0.1,7.43235816956,91.5421405474,4441.00732422,4.04765129089,22.6334815025
7,4255.24280599,0.1,8.16097183228,84.3573967179,4213.68652344,7.81699371338,67.3553915024
8,4263.41790365,0.1,7.0676311175,82.5980956992,3022.0357666,3.96972227097,22.0086966753
9,4264.37530924,0.1,8.17871354421,87.3408067703,4925.87426758,2.50000095367,12.2082859463
10,4161.10221354,0.1,7.09167327881,74.3029200355,4304.36914063,2.50000095367,6.26373171806
11,4256.33212891,0.1,7.58668600718,83.8988272707,4089.46130371,2.49999952316,10.1084148735
12,4289.52599284,0.1,6.62967809041,71.7078895291,3005.56652832,4.86181330681,29.8872280121
13,4185.20148112,0.1,7.2731083552,78.9494277528,5011.08764648,8.05872106552,71.1929883957
14,4213.6555013,0.1,6.61166044871,74.9238479587,4439.57397461,9.38901567459,94.4036197662
15,4253.35045573,0.1,7.27787294388,88.2811841403,4170.63061523,5.11959457397,32.4602477551
16,2962.24553223,0.05,7.94545828501,83.3964376609,2294.62731934,5.19005584717,33.1866798401
17,1888.4567627,0.05,7.19274806976,74.4526300271,2298.26123047,2.50000143051,6.83848297596
18,1864.36454264,0.05,7.54047546387,82.855257839,1644.94091797,4.48643159866,26.3780713081
19,1652.64039714,0.05,6.93765589396,69.2757659674,1631.77416992,3.27374649048,16.967410475
20,1723.80152995,0.05,8.08613440196,79.3797054927,1558.03106689,8.20334625244,73.5448932648
21,1641.12272949,0.05,6.90439287821,68.3245502631,1887.25140381,2.49999904633,12.2232208567
22,1660.08511556,0.05,6.83830776215,71.0922761361,1933.52893066,15.6678085327,251.730209351
23,1679.61096191,0.05,6.88028303782,71.070349892,1936.10101318,7.41482305527,61.2296066284
24,1681.74307454,0.05,6.90697937012,72.348927784,1440.28344727,12.726102829,168.203697205
25,1719.57003581,0.05,6.94769706726,68.9397850513,1850.21594238,2.50000286102,10.4171920121
26,1623.76819661,0.05,7.77511831919,73.7873576482,1958.96075439,16.5746889114,280.970329285
27,1704.39515788,0.05,6.64862788518,70.784542646,1534.26757813,2.91674232483,14.7573855221
28,1627.97582194,0.05,6.76198883057,69.8461090247,1582.38085938,2.89324140549,14.6207912341
29,1717.74297689,0.05,7.3910677592,72.3287099361,1936.98815918,9.97753047943,105.801122665
30,1630.49461263,0.05,7.28295294444,69.2805325667,1720.88269043,6.29446792603,45.870326519
31,1718.09519043,0.05,6.9764497757,72.0739271879,1743.65319824,10.4324007034,115.084949493
32,1667.78618978,0.05,7.36663029989,75.3946024736,1952.02423096,15.8144416809,256.346496582
