epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,125.332094669,0.01,8.98378559748,125.332094669,23.4724293947,4.14999389648,23.4724293947
1,79.6189003646,0.01,6.92527310054,79.6189003646,7.70178282261,2.50000143051,7.70178282261
2,71.1884785016,0.01,7.03228816986,71.1884785016,8.04380905628,2.50000095367,8.04380905628
3,75.6686666568,0.01,7.20244089762,75.6686666568,9.42128577828,2.50000047684,9.42128577828
4,76.1141403159,0.01,7.15435447693,76.1141403159,6.25100469589,2.49999809265,6.25100469589
5,77.1427013874,0.01,7.24901237488,77.1427013874,9.02229961753,2.49999713898,9.02229961753
6,73.430476884,0.01,6.89841588338,73.430476884,25.7834736109,4.41966724396,25.7834736109
7,76.5429999034,0.01,7.32277685801,76.5429999034,83.7860050201,8.80545330048,83.7860050201
8,75.6528589506,0.01,6.84939244588,75.6528589506,202.006843567,13.9913139343,202.006843567
9,73.6148859024,0.01,7.45374635061,73.6148859024,451.878326416,21.109910965,451.878326416
10,75.5798747281,0.01,7.0022790273,75.5798747281,931.438293457,30.4169082642,931.438293457
11,74.1638402561,0.01,7.14105116526,74.1638402561,1889.53015137,43.3967761993,1889.53015137
12,68.9031421343,0.01,7.38744773865,68.9031421343,1856.36865234,43.0130062103,1856.36865234
13,74.5487198949,0.01,6.79201552073,74.5487198949,9133.36474609,95.5359344482,9133.36474609
14,71.8394391338,0.01,6.96370830536,71.8394391338,7558.40234375,86.9031219482,7558.40234375
15,74.7574036121,0.01,7.46789735158,74.7574036121,9820.53320313,99.0670661926,9820.53320313
16,72.4777366002,0.005,7.26403636932,72.4777366002,8774.67138672,93.6398468018,8774.67138672
17,72.4098803043,0.005,7.07683753967,72.4098803043,10876.9467773,104.262634277,10876.9467773
18,69.3734034061,0.005,7.13617305756,69.3734034061,3234.3927002,56.8167495728,3234.3927002
19,69.8464175065,0.005,7.24198137919,69.8464175065,18823.2763672,137.175170898,18823.2763672
20,72.6066395362,0.005,7.15833466848,72.6066395362,37560.7578125,193.789855957,37560.7578125
21,72.1187814156,0.005,7.21594397227,72.1187814156,36035.2539063,189.813079834,36035.2539063
22,71.1752964894,0.005,6.95254713694,71.1752964894,71666.9804688,267.695220947,71666.9804688
23,70.7699600577,0.005,6.84966672262,70.7699600577,23087.1894531,151.924118042,23087.1894531
24,73.0750528336,0.005,7.2280878067,73.0750528336,3707.29467773,60.8361740112,3707.29467773
25,75.6764627218,0.005,7.17362810771,75.6764627218,170551.851563,412.971679688,170551.851563
26,73.3199506124,0.0025,7.35407174428,73.3199506124,58921.2871094,242.724212646,58921.2871094
27,71.6527526697,0.0025,7.23003978729,71.6527526697,1095918.5,1046.85827637,1095918.5
28,69.975567166,0.0025,7.01423479716,69.975567166,3340014.125,1827.56884766,3340014.125
29,68.1180541039,0.0025,6.94424635569,68.1180541039,7642656.75,2764.53442383,7642656.75
30,69.18803339,0.0025,6.91226024628,69.18803339,11771268.0,3430.92724609,11771268.0
31,76.4722748876,0.0025,7.27422059377,76.4722748876,8455479.0,2907.82958984,8455479.0
32,70.7242846251,0.0025,6.93382492065,70.7242846251,76885.125,277.270294189,76885.125
33,69.2879827579,0.0025,6.82114842733,69.2879827579,8361217.5,2891.57592773,8361217.5
34,66.373779285,0.0025,6.87257353465,66.373779285,26697073.0,5166.92041016,26697073.0
