epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,9705.00780048,1.0,75.0996574402,9705.00780048,954.772003174,30.798084259,954.772003174
1,29157.5510742,1.0,149.313790512,29157.5510742,2007.16894531,44.7316322327,2007.16894531
2,28984.2675323,1.0,144.416888809,28984.2675323,17433.7998047,132.013442993,17433.7998047
3,16398.3482297,1.0,95.9420460383,16398.3482297,3314.81140137,57.5200958252,3314.81140137
4,4484.04385579,1.0,55.1511120478,4484.04385579,8.33492749929,2.5,8.33492749929
5,8001.98964742,1.0,73.7955038071,8001.98964742,2670.43908691,51.6157836914,2670.43908691
6,3271.79310999,1.0,42.143958505,3271.79310999,3189.40588379,56.4194641113,3189.40588379
7,3345.57973124,1.0,48.3932171504,3345.57973124,1855.13922119,42.9987125397,1855.13922119
8,3446.52322024,1.0,46.0904052099,3446.52322024,408.256607056,20.0501022339,408.256607056
9,1133.46161894,1.0,24.8002342224,1133.46161894,20.3203578591,3.75104808807,20.3203578591
10,304.745427354,1.0,15.1091153781,304.745427354,6.25306248665,2.49999809265,6.25306248665
11,431.774952443,1.0,19.483272934,431.774952443,328.011360168,17.937707901,328.011360168
12,535.507245847,1.0,17.4801112175,535.507245847,95.5501422882,9.4498758316,95.5501422882
13,275.648303426,1.0,14.1576887767,275.648303426,71.8315219879,8.09824037552,71.8315219879
14,178.113438259,1.0,10.5929687341,178.113438259,6.50454497337,2.49999809265,6.50454497337
15,208.879410172,1.0,11.6696649551,208.879410172,50.4337024689,6.64708280563,50.4337024689
16,133.796914633,1.0,10.3638698975,133.796914633,315.128364563,17.5749363899,315.128364563
17,162.396187222,1.0,11.1604247411,162.396187222,289.980255127,16.844294548,289.980255127
18,166.587605834,1.0,11.0843750954,166.587605834,149.129707336,11.9532299042,149.129707336
19,108.241345342,1.0,8.38376057943,108.241345342,312.656295776,17.5044631958,312.656295776
20,112.124534877,1.0,8.90652189255,112.124534877,619.374282837,24.7613449097,619.374282837
21,131.243079415,1.0,8.85844564438,131.243079415,228.382476807,14.9041051865,228.382476807
22,145.005588309,0.5,10.5713942846,145.005588309,259.174407959,15.9035902023,259.174407959
23,124.291447085,0.5,9.14234809875,124.291447085,35.2454981804,5.38472795486,35.2454981804
24,73.4551229954,0.5,7.00034599304,73.4551229954,18.6964575052,3.52793884277,18.6964575052
25,116.408039479,0.5,8.4118777593,116.408039479,11.5003100764,2.50002527237,11.5003100764
26,99.6942290624,0.5,8.25989068349,99.6942290624,123.211738586,10.8148984909,123.211738586
27,94.6367756347,0.5,8.78291543325,94.6367756347,193.948707581,13.700316906,193.948707581
28,74.1491378735,0.5,7.05137376785,74.1491378735,167.370574951,12.6933403015,167.370574951
29,110.451337519,0.5,7.97387523651,110.451337519,9.29480096698,2.49988269806,9.29480096698
30,95.3582097371,0.5,9.15072377523,95.3582097371,77.9185333252,8.46579027176,77.9185333252
31,76.0188767783,0.5,7.3062798818,76.0188767783,196.389698029,13.789255619,196.389698029
32,85.638665696,0.25,7.63078301748,85.638665696,6.23683261871,2.49734115601,6.23683261871
33,60.8887075655,0.25,5.80600204468,60.8887075655,386.791992188,19.5091991425,386.791992188
34,86.636193273,0.25,7.70015201569,86.636193273,25.4731669426,4.39004039764,25.4731669426
35,76.7251769866,0.25,6.89852202733,76.7251769866,6919.2331543,83.1511726379,6919.2331543
36,94.996574374,0.25,8.66641050975,94.996574374,8709.08056641,93.3076972961,8709.08056641
37,80.9656233112,0.25,7.03830191294,80.9656233112,4988.06640625,70.6169166565,4988.06640625
38,92.1732027218,0.25,8.31426223119,92.1732027218,20.9551725388,4.33403015137,20.9551725388
39,70.225531905,0.25,7.2174926122,70.225531905,1193.7507019,34.3338317871,1193.7507019
40,53.6403035999,0.25,5.74801422755,53.6403035999,1833.20678711,42.7316608429,1833.20678711
41,64.4910141115,0.25,6.69816509883,64.4910141115,40.9398750067,5.39119625092,40.9398750067
42,69.8750906155,0.25,6.81913607915,69.8750906155,4617.79003906,66.9634876251,4617.79003906
43,67.38073599,0.25,7.16922416687,67.38073599,4063.54034424,60.4712333679,4063.54034424
44,70.7358499289,0.125,7.08170083364,70.7358499289,8464.43688965,87.0721988678,8464.43688965
45,50.0687413901,0.125,5.92569885254,50.0687413901,4619.24194336,66.924911499,4619.24194336
46,81.3148909887,0.125,8.08418490092,81.3148909887,5053.75143623,53.4732027054,5053.75143623
47,79.6380354246,0.125,7.46767215729,79.6380354246,13120.3258057,105.808391571,13120.3258057
48,89.239511402,0.125,8.07842302322,89.239511402,4568.65905762,66.1910095215,4568.65905762
49,83.8244977236,0.125,7.46084054311,83.8244977236,8267.851542,66.0808563232,8267.851542
50,63.7459831913,0.125,6.54861679077,63.7459831913,109.721901655,7.98917007446,109.721901655
51,87.8903079033,0.125,7.81229022344,87.8903079033,3222.96478271,51.1295547485,3222.96478271
52,61.5054445545,0.125,6.24646560351,61.5054445545,11093.7653809,99.1380081177,11093.7653809
53,85.5233406385,0.125,8.33756275177,85.5233406385,35503.5830078,180.53843689,35503.5830078
54,102.256463798,0.0625,9.25144456228,102.256463798,23196.8642578,143.985652924,23196.8642578
55,61.1689186111,0.0625,6.76046876907,61.1689186111,15085.0397949,116.935783386,15085.0397949
56,60.5981322887,0.0625,6.31039288839,60.5981322887,10620.6805038,74.8851356506,10620.6805038
