epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,76618.1565257,0.5,108.545460415,29744.1041209,56.0114860535,7.05354475975,56.0024967194
1,6755.1543586,0.5,65.6974476496,6751.22176746,319.376556396,12.1148862839,159.247558594
2,26678.9531067,0.5,34.0103203773,2028.73985016,1032.27191162,15.3809261322,256.755744934
3,19940.5322591,0.5,34.3606693904,1538.65723063,6434.50341797,19.4624147415,384.441452026
4,18298.728418,0.5,20.0262050629,581.246474743,13828.0673828,24.4744310379,609.624420166
5,35509.0192708,0.5,97.1527511597,17335.6185923,77929.3984375,245.753005981,60408.3613281
6,32329.0821615,0.5,88.9382745107,13997.9849569,19072.828125,14.4604010582,282.528335571
7,25972.7764323,0.5,70.1948420207,7700.24075979,33038.375,116.501476288,14303.6418457
8,31909.8898437,0.5,98.1535023689,13720.0824608,19813.1445313,27.6251797676,1379.10020733
9,28639.6298177,0.5,72.3326512019,10497.9853851,34339.34375,102.296808243,16112.3180847
10,48372.8980469,0.5,146.083884048,30249.6007226,38787.0849609,132.042140961,20650.857666
11,28130.085026,0.5,87.3448242823,10010.4536555,22578.0996094,66.789855957,4466.47998047
12,10976.4924593,0.25,76.3507999738,9769.051053,1007.14135742,31.6368675232,1007.14135742
13,3370.80323238,0.25,40.860240078,3370.80323238,10108.6411133,100.510650635,10108.6411133
14,11002.3937968,0.25,55.1562576771,4533.4588347,63.038728714,2.91727542877,8.88112139702
15,6178.38030396,0.25,37.9286960602,1940.36737918,13836.1730957,98.0756874084,11209.7076416
16,7375.47963867,0.25,45.9731653849,3298.85082938,15063.1435547,107.484111786,11788.4130859
17,10622.8405924,0.25,64.0441573461,6330.89632435,5171.76293945,39.6044960022,1595.45343018
18,9017.09016927,0.25,52.7922194799,4597.01923463,9111.10498047,66.463306427,5101.11791992
19,8052.14163411,0.25,49.7782056173,3556.72878962,9472.25439453,71.469619751,5134.70581055
20,9409.94127604,0.25,48.0384555499,4882.29764379,5816.39697266,30.0776257515,1319.60883713
21,7938.40458984,0.25,49.4460544586,3402.86303711,11482.6286621,61.2174899578,6937.16710091
22,1589.90437978,0.125,29.3275416692,1286.87338104,88.2192001343,9.05368423462,88.2192001343
23,1870.27916718,0.125,32.9217537562,1870.27916616,397.292037964,19.7747764587,397.291793823
24,3236.096757,0.125,34.8307664871,1647.00315247,5411.61035156,73.4333610535,5399.04052734
25,1646.07049408,0.125,20.4148062547,528.514015547,11726.8726196,91.7960548401,11443.8214111
26,1724.74597778,0.125,20.1755351861,681.563085596,3013.23773193,37.1971187592,2402.47852707
27,2262.96960042,0.125,28.3739404678,1177.646451,7289.76519775,66.4073095322,6420.83027649
28,2173.66843262,0.125,26.6434836864,1054.40466456,38967.3378906,194.030212402,37921.7373047
29,1735.03653158,0.125,19.7822663625,601.126632635,2779.10192871,39.6479454041,1652.97842407
30,1861.60174967,0.125,20.583147494,725.029046416,36518.7402344,187.128387451,35372.5410156
