epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,330.296798205,0.1,11.1934610316,190.210983426,164.147987366,3.76463842392,16.1063182354
1,272.882923415,0.1,10.530422254,180.893840876,106.120223999,3.2433552742,13.3492010832
2,271.098317464,0.1,10.8286519051,175.843018385,231.753158569,11.3212118149,135.966274261
3,293.334652294,0.1,11.4593475515,197.429075725,3882.37634277,61.4230995178,3786.44335938
4,301.60245144,0.1,11.8462033109,205.78822529,16892.1889648,128.99665451,16796.3984375
5,353.999543161,0.1,13.1943087722,258.176439013,319060.765625,564.622253418,318964.953125
6,363.378478542,0.1,13.4415987333,267.55226087,465509.953125,681.594696045,465414.140625
7,276.320718707,0.1,10.0807385156,180.490135411,13196678.0,3632.55102539,13196582.0
8,171.488425843,0.01,10.1634007656,163.753601758,52.6984171867,6.35990715027,52.6984171867
9,111.289586854,0.01,8.26360696735,111.289586854,54.2404665947,6.48000526428,54.2404665947
10,173.918025757,0.01,10.2964414683,172.943838624,653.017074585,25.2788219452,651.458847046
11,173.575536825,0.01,10.5527183359,172.685825861,35.7488021851,4.7727022171,35.0428645015
12,149.078100356,0.01,10.2852037603,148.131443518,659.108566284,25.403711319,658.112533569
13,153.855139631,0.01,10.1947576783,152.893446749,20.7864404917,3.6780796051,19.8312811852
14,176.236746181,0.01,11.5806913304,175.279292736,3004.00024414,54.6768836975,3003.04272461
15,168.66693481,0.01,10.3228402427,167.708694913,47.0063332915,5.27383565903,46.0479297042
16,130.717160918,0.01,9.99971420115,129.758985333,13723.3696289,116.959774017,13722.4116211
17,108.567350445,0.01,8.66236484412,107.609168799,120.839817047,10.6325669289,119.881622314
18,141.336184791,0.01,9.74488171664,140.377991227,78253.1484375,279.319992065,78252.1953125
19,98.6609269922,0.01,8.65797788447,97.7027299187,73013.8964844,268.073364258,73012.9394531
20,86.6378618091,0.001,7.8616734707,86.5605219725,30.2923948169,4.24763393402,30.2923948169
21,101.792627168,0.001,8.80660900925,101.792627168,29.5246915519,4.1562833786,29.5246915519
22,91.6541479573,0.001,7.75943666516,91.6444446043,27.7131979167,3.93009376526,27.6972118914
23,97.9510772316,0.001,7.84675667503,97.942169905,33.214620471,4.57786798477,33.2075605392
24,125.18685708,0.001,8.89580452081,125.177408008,27.9397124797,3.95953178406,27.9297681078
25,94.5941535853,0.0001,7.98792263233,94.5933521268,29.3891773522,4.13994884491,29.3891773522
26,101.915780038,0.0001,8.14848249609,101.915780038,29.7795418948,4.18682956696,29.7795418948
27,86.4288348544,0.0001,7.31729443868,86.4287556104,30.0665975213,4.2209186554,30.0661534369
28,110.557860401,0.0001,8.14462163232,110.55775974,29.9783723056,4.21049785614,29.978292793
29,94.0482663067,0.0001,8.32717008302,94.048176406,29.8518457562,4.19544410706,29.8517512977
30,131.327872525,0.0001,9.62183294874,131.327780171,29.9384966791,4.20575809479,29.9384011924
31,136.864229892,0.0001,9.85367205649,136.864137847,30.2918484509,4.24755764008,30.2917534113
32,156.024846501,0.0001,10.6831536871,156.024756622,30.6173585653,4.28570461273,30.6172634363
33,116.247882621,0.0001,8.4428322532,116.247790048,30.3524520099,4.25468635559,30.3523569107
34,111.99304264,0.0001,7.88919430068,111.992952133,30.691747278,4.29437446594,30.6916521788
35,112.188605241,0.0001,8.8885753516,112.18851206,30.7838781178,4.30508804321,30.7837830186
36,81.569242108,0.0001,7.42291665077,81.56914862,31.1184240282,4.34376907349,31.1183289289
37,136.139988527,0.0001,9.94471755172,136.139896817,30.8561345637,4.31347179413,30.8560394645
38,68.3995134931,0.0001,6.45026698257,68.399420485,30.8662710786,4.31464672089,30.8661759794
39,117.370254005,0.0001,8.49917208065,117.370161804,30.7411130965,4.30011844635,30.7410179973
40,88.2156243591,0.0001,7.7992161693,88.2155311744,30.9142889977,4.32020759583,30.9141938984
41,153.764003827,0.0001,10.6225706303,153.763910955,30.4976783097,4.27171897888,30.4975832105
42,59.7647562749,0.0001,6.23564620451,59.7646626993,30.342965275,4.25357151031,30.3428701758
43,74.6216847547,0.0001,6.85557950627,74.6215913529,30.5500636101,4.27784633636,30.5499685109
44,91.9785452539,0.0001,8.47620810884,91.9784517144,30.898643136,4.3183965683,30.8985480368
45,132.219806188,0.0001,10.019272732,132.219713522,31.3845871389,4.37429904938,31.3844920397
46,150.21672098,0.0001,10.5957987959,150.21662838,31.554918468,4.3937253952,31.5548233688
