epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,166.179129701,0.01,10.7017360853,163.132806828,19.4283661842,3.5,17.8815103173
1,72.6230757453,0.01,6.98971855279,70.9664999321,33.003133893,4.37178134918,31.3624796271
2,69.832479802,0.01,7.20215103843,68.1873909163,40.4291374683,5.15303325653,38.8037699461
3,69.9639056451,0.01,7.16874391382,68.3035613678,64.25041008,7.09458637238,62.5831608772
4,71.3730799863,0.01,7.16268140619,69.7131169036,42.6745717525,5.36339855194,41.0160243511
5,70.4909070983,0.01,7.02741591136,68.8312221865,63.260020256,7.02494525909,61.6000494957
6,73.9084894657,0.01,7.35371479844,72.2485558282,40.615252018,5.16771125793,38.9552921057
7,72.718848973,0.005,7.25990795367,72.6685472189,44.656434536,5.6926651001,44.656434536
8,68.8228233416,0.005,7.03255563794,68.357548883,36.8088960648,4.94508600235,36.7038741112
9,68.9015629725,0.005,7.27583781156,68.4951196186,39.132345438,5.1380443573,38.6479029655
10,74.8817769858,0.005,7.40123939514,74.4662711585,35.4024372101,4.76959371567,34.9996559024
11,70.777944023,0.005,7.30651531797,70.3683370659,28.6997000873,4.0062713623,28.2888433337
12,68.865302278,0.0025,7.33235162677,68.8528519391,29.2630048692,4.12467861176,29.2629732341
13,75.7367796501,0.0025,7.6858549696,75.6189720017,31.5961833894,4.38959169388,31.5182656646
14,62.2791287168,0.0025,6.74676770875,62.1697230357,37.3235622644,4.99589824677,37.210676074
15,69.5898384208,0.0025,7.07922727411,69.4879627704,34.6231560707,4.71922969818,34.5234407187
16,74.6232464901,0.0025,7.48212152539,74.520596343,40.4393699169,5.29781484604,40.336145997
17,66.6677006737,0.00125,6.98059108041,66.6645727114,36.5627372265,4.93079471588,36.5627369881
18,68.0811414326,0.00125,7.0699784539,68.0519732681,35.8076970577,4.85215520859,35.792979598
19,65.9538257664,0.00125,7.02200398301,65.9268980532,36.833671689,4.95533800125,36.8042111397
20,72.251484557,0.00125,7.02021364732,72.2259116226,35.5426539779,4.82395553589,35.517795682
21,74.3962517345,0.00125,7.24640779784,74.3706235344,36.4407513142,4.91532468796,36.4149729013
22,71.6545653054,0.000625,7.43200755842,71.6537841017,35.5275965333,4.82468605042,35.5275964737
23,63.9507670792,0.000625,6.80143445911,63.9434971643,35.9248161912,4.86525678635,35.9207724333
24,67.7960758518,0.000625,6.94877165014,67.7893243269,35.9475955963,4.86732673645,35.9403479099
25,68.1736201402,0.000625,7.2700735439,68.1672384559,35.7804262638,4.85013723373,35.7742089033
26,68.8494013468,0.000625,7.07934550083,68.8429965109,35.8755477071,4.85999584198,35.8691040277
27,65.5808370764,0.0003125,7.04394967628,65.5806419199,35.8894021511,4.86203670502,35.8894021511
28,63.00011883,0.0003125,6.96993796031,62.9982998949,35.690743506,4.84147930145,35.6899152398
29,69.4053180082,0.0003125,6.96743323586,69.4036479123,35.4741196036,4.81894826889,35.4722604156
30,65.725301794,0.0003125,6.97408485413,65.723704963,35.4365965128,4.81508493423,35.4350475073
31,69.4647411269,0.0003125,7.37787174456,69.4631456882,35.2874469757,4.79956674576,35.2858424783
32,66.1758500365,0.00015625,7.08553412466,66.1758012546,35.4390429258,4.8155002594,35.4390429258
33,62.0244610658,0.00015625,6.74965578137,62.0240104093,35.5602754354,4.82804918289,35.560053885
34,67.9067980126,0.00015625,7.09887998754,67.9063837059,35.6253225803,4.83475589752,35.6248641014
35,69.2431273966,0.00015625,7.15778053168,69.2427332474,35.6513798833,4.83745765686,35.6509959102
36,66.3133356508,0.00015625,6.86587738268,66.3129411479,35.6213953495,4.83435630798,35.6210005879
37,66.9174673912,0.0001,7.065318281,66.9173681925,35.5628839135,4.82833576202,35.5628257394
38,71.5023084707,0.0001,7.22712383848,71.5021356346,35.5542498827,4.8274269104,35.5540505052
39,65.8774769392,0.0001,6.8863361821,65.8773168366,35.4657754898,4.8182592392,35.465621531
40,64.0698632074,0.0001,6.88689650911,64.0697037343,35.3673405647,4.8080329895,35.3671824336
41,77.6083559024,0.0001,7.48480343096,77.6081942723,35.328086555,4.80394935608,35.3279289603
42,58.5562281622,0.0001,6.68024690223,58.5560678187,35.4406892657,4.81565475464,35.440531671
43,64.9455660979,0.0001,6.85863471754,64.9454036409,35.4940302968,4.82118988037,35.4938727021
44,60.2359655584,0.0001,6.66910064582,60.2358052387,35.5095645785,4.82280063629,35.5094069839
45,69.1809363528,0.0001,7.26211464044,69.1807765401,35.4895525575,4.82072544098,35.4893949628
46,64.4171849526,0.0001,6.78477798809,64.4170246609,35.495657146,4.82135868073,35.4954995513
47,63.4219468251,0.0001,6.84059721051,63.4217855484,35.5037244558,4.8221950531,35.5035668612
48,68.752515372,0.0001,7.23448490374,68.7523546923,35.452557385,4.81688690186,35.4523997903
