epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,45.8856069885,0.01,5.78397243726,45.3118210021,43.3946376551,5.64060228521,43.3946376551
1,42.6148866286,0.01,5.61038371824,42.6028393719,40.2997724258,5.50000007225,40.2820213586
2,42.9116206146,0.01,5.55972824698,42.8874287534,58.7598551937,6.3363570589,58.7398467027
3,45.6609032913,0.01,5.78595157313,45.633426113,42.5269990903,5.59108546286,42.5029122607
4,44.0534433818,0.01,5.73193091871,44.0270230602,43.1368007215,5.62547789198,43.1065342857
5,46.0782288943,0.01,5.7635166687,46.0495206962,40.2998651388,5.50000043349,40.2662892466
6,44.8458624088,0.01,5.70200486477,44.8184766287,40.5156229239,5.49999989885,40.4868446614
7,42.6041953309,0.01,5.60192236243,42.5782322014,45.5663618217,5.73639100971,45.5406890568
8,42.9047695644,0.01,5.61238745301,42.8786004937,40.4320484622,5.49999963876,40.4060851249
9,45.0550737151,0.01,5.69479719425,45.0293238224,40.4620573812,5.50000037569,40.4359431917
10,44.7198295615,0.01,5.71656998092,44.6941201625,40.5470559468,5.5019604076,40.522028816
11,43.2293093328,0.01,5.65337725818,43.2038959963,54.069515642,6.12328355963,54.0440155026
12,45.1375649717,0.01,5.77675646351,45.1118701676,40.3017954348,5.5,40.2757902072
13,41.562586674,0.005,5.50703805633,41.5623742118,41.3702956465,5.55076729168,41.3702956465
14,42.2428300962,0.005,5.59126355851,42.2428300956,40.3727479668,5.5,40.3727479516
15,41.8621458564,0.005,5.55736234251,41.8519634109,40.803207345,5.52215602181,40.803114009
16,42.4366661585,0.005,5.56627268526,42.433300883,40.8805432337,5.52617645264,40.8708503412
17,43.4898723919,0.005,5.68995548763,43.4846077049,41.9041829907,5.57118372484,41.8961430182
18,42.3328031892,0.005,5.60012022281,42.3271424525,40.6014437994,5.50789399581,40.5943737097
