epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,3468.30457256,0.1,41.3501098998,2888.58026748,44486928.0,6669.80712891,44486364.0
1,5753.24018056,0.1,57.9624472049,5186.05259874,1257003824.76,35454.2421875,1257003312.76
2,6089.85159944,0.1,58.376417269,5522.66397875,32139643465.1,179275.328125,32139643465.1
3,5911.96722346,0.1,59.0144922039,5344.77958558,9414261516.19,97027.1171875,9414261516.19
4,6239.60219732,0.1,59.8413792253,5672.41456328,654457751.365,25582.359933,654457175.365
5,5897.36001217,0.1,58.9358654674,5330.17242828,5717161260.7,75611.9087302,5717160748.7
6,6158.43993587,0.1,59.6904045558,5591.25230442,1281791339.68,35802.1058408,1281790827.68
7,6989.46839654,0.1,64.5318419215,6422.2806999,13377549539.6,115661.357143,13377549539.6
8,6359.14999169,0.1,61.3132083328,5791.96235085,2413972809.14,49132.1917163,2413972297.14
9,6239.78863732,0.1,60.0187269209,5672.6009751,2648815453.46,51466.6364707,2648814941.46
