epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,24.5814916585,0.1,4.00744827262,24.5814916585,6422.84387372,62.1027649966,6422.84387372
1,17.0819988462,0.1,3.3419872379,17.0819988462,83269146.5945,7002.47292813,83269146.5945
2,15.7547488119,0.1,3.28951866396,15.7547488119,3086162463.29,39199.4033483,3086162463.29
3,19.6489394368,0.1,3.56246544888,19.6489394368,1001396815.25,23366.8186128,1001396815.25
4,18.2281062075,0.1,3.4519290134,18.2281062075,863719688.393,20145.5439652,863719688.393
5,19.2112409766,0.1,3.55151771031,19.2112409766,3264771604.0,46551.4741433,3264771604.0
6,17.5581938653,0.1,3.30881956036,17.5581938653,1280814269.98,25765.1899525,1280814269.98
7,18.9054323573,0.1,3.44137569327,18.9054323573,1090867743.52,24478.3169611,1090867743.52
8,17.9306613452,0.1,3.45314731416,17.9306613452,2554087729.52,33019.6954679,2554087729.52
9,17.4870741037,0.1,3.49495323452,17.4870741037,1165918550.66,24507.3271632,1165918550.66
10,15.1267524275,0.1,3.25729792978,15.1267524275,704153641.673,20131.4451275,704153641.673
11,16.4941655765,0.1,3.23976588459,16.4941655765,2515252896.85,38553.3491063,2515252896.85
12,15.2602192245,0.1,3.25633907598,15.2602192245,976192635.409,23237.4481849,976192635.409
13,23.5962651214,0.1,3.95965283078,23.5962651214,114142851.217,7930.45422687,114142851.217
14,15.1063883679,0.1,3.19574075291,15.1063883679,856946615.878,23376.4894853,856946615.878
15,16.168522524,0.1,3.3235899612,16.168522524,1250399787.66,25610.5466811,1250399787.66
16,27.1033092699,0.1,4.12956541095,27.1033092699,1436586085.27,24303.0906728,1436586085.27
17,10.7101775512,0.05,2.81708107736,10.7101775512,181797393.687,9105.60221239,181797393.687
18,10.7652597153,0.05,2.80713287896,10.7652597153,263219261.39,10989.2543379,263219261.39
19,12.4772362442,0.05,2.99091012737,12.4772362442,754593691.134,20893.1243171,754593691.134
20,11.5186966616,0.05,2.88281770326,11.5186966616,164235059.363,10149.4106253,164235059.363
21,13.7720788449,0.05,3.09250789723,13.7720788449,467474679.116,17758.0608317,467474679.116
22,13.7041670227,0.05,3.06676903708,13.7041670227,2580485965.82,39035.4606934,2580485965.82
23,12.0735808595,0.05,2.92734732027,12.0735808595,294141073.392,12102.39553,294141073.392
