epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,12.7188922697,0.1,2.8250278446,12.7188922697,109.102398053,8.49320598443,109.102398053
1,10.2288510321,0.1,2.55634907946,10.2288510321,134933.797836,299.848382314,134933.797836
2,11.9728200518,0.1,2.76213876278,11.9728200518,116291845.286,9590.91549683,116291845.286
3,6.88742860907,0.1,2.21630470022,6.88742860907,485082967.057,17410.9228713,485082967.057
4,9.44233489184,0.1,2.48305329392,9.44233489184,250446675.372,10454.1582545,250446675.372
5,10.0418342566,0.1,2.60146345342,10.0418342566,3175724380.67,52149.6329346,3175724380.67
6,15.3407080481,0.1,3.17987694952,15.3407080481,287027692.008,13374.1184769,287027692.008
7,7.92492368363,0.1,2.26151009337,7.92492368363,31277467.0521,4656.6111908,31277467.0521
8,10.0459294779,0.1,2.56939062188,10.0459294779,522011857.668,15523.4197628,522011857.668
9,9.80445892197,0.1,2.5732482566,9.80445892197,1426389757.14,34404.7583415,1426389757.14
10,17.0102889406,0.1,3.25114710485,17.0102889406,810402416.141,23801.8732561,810402416.141
11,10.726232716,0.1,2.52999476175,10.726232716,1551210052.9,28792.7274475,1551210052.9
12,9.84205470139,0.1,2.54812242331,9.84205470139,608055306.559,20482.4584936,608055306.559
13,6.91833343628,0.1,2.23689289631,6.91833343628,1736216998.83,38442.8867594,1736216998.83
14,8.45163520121,0.1,2.40740238563,8.45163520121,130101138.435,9543.22451274,130101138.435
15,9.92358439309,0.1,2.53769335439,9.92358439309,1041831481.67,29822.8092651,1041831481.67
16,15.5935416308,0.1,3.08352233614,15.5935416308,2144869595.88,33471.7887828,2144869595.88
17,6.2971390931,0.05,2.14631592266,6.2971390931,15142625.2029,3056.39520613,15142625.2029
18,6.08607461824,0.05,2.0806401372,6.08607461824,230719117.938,13593.8659668,230719117.938
19,6.60565973712,0.05,2.2143328709,6.60565973712,44601345.6322,5434.87695694,44601345.6322
20,6.85388838711,0.05,2.21108318913,6.85388838711,19114571.8789,3457.82544708,19114571.8789
21,6.53622363927,0.05,2.1839229253,6.53622363927,705372650.333,25076.580363,705372650.333
22,6.48455017097,0.05,2.12409046196,6.48455017097,211246675.275,11250.2713016,211246675.275
23,6.269020907,0.05,2.11275729825,6.269020907,301937331.875,15625.1694132,301937331.875
24,8.53521504352,0.05,2.39505506619,8.53521504352,192328089.51,11039.3206342,192328089.51
25,6.64471560398,0.05,2.10613481556,6.64471560398,250797984.755,13079.3466949,250797984.755
26,7.43258555158,0.05,2.26200312472,7.43258555158,260456402.408,13040.0736567,260456402.408
27,7.15782990471,0.05,2.23219331618,7.15782990471,356550197.294,13837.9811966,356550197.294
28,6.27054284112,0.05,2.16550187334,6.27054284112,53444820.3398,5068.91356532,53444820.3398
29,7.13997038373,0.05,2.19804860123,7.13997038373,456437260.249,15792.1284234,456437260.249
30,9.36204361595,0.05,2.44315378704,9.36204361595,1590714614.29,34023.4723206,1590714614.29
31,9.25126752286,0.05,2.4811420508,9.25126752286,1568685313.88,31762.3420054,1568685313.88
32,5.83700588841,0.025,2.07612868086,5.83700588841,41045763.4639,5024.5903422,41045763.4639
33,5.3856720653,0.025,1.98072996832,5.3856720653,65994502.3184,6587.76390584,65994502.3184
34,5.41829137602,0.025,2.01667612599,5.41829137602,87541703.567,6778.82709757,87541703.567
35,5.5746249069,0.025,2.01828531873,5.5746249069,51279147.088,5504.96066856,51279147.088
36,6.23885228112,0.025,2.09597554514,6.23885228112,227747586.592,10219.1732324,227747586.592
37,6.91173719512,0.025,2.17743276685,6.91173719512,198790890.427,11919.5993398,198790890.427
38,5.47553186886,0.025,2.02232337575,5.47553186886,78942953.0629,7388.43243138,78942953.0629
39,5.75981440556,0.025,2.08064892215,5.75981440556,41141058.1816,5304.17866834,41141058.1816
40,5.49990948509,0.025,2.02045794649,5.49990948509,81301643.1562,7601.81260173,81301643.1562
41,5.63565173182,0.025,2.04496942797,5.63565173182,71073148.9935,6549.140227,71073148.9935
42,6.75578111898,0.025,2.22999390095,6.75578111898,739124169.083,23339.4137573,739124169.083
43,6.73216683459,0.025,2.19879218263,6.73216683459,51487612.6927,5755.43355815,51487612.6927
44,5.7037700147,0.025,2.04142273626,5.7037700147,108826579.151,8435.45883179,108826579.151
45,6.10351885783,0.025,2.13481799633,6.10351885783,67205211.5716,6821.94571686,67205211.5716
46,5.91407799964,0.025,2.1104238091,5.91407799964,5798098.22864,1917.8928016,5798098.22864
47,5.39253104017,0.0125,2.00745425109,5.39253104017,16843862.7189,3288.66090171,16843862.7189
48,5.38309595647,0.0125,2.01896545964,5.38309595647,20883141.9064,3482.29361153,20883141.9064
49,5.40960562147,0.0125,2.02424444306,5.40960562147,539596717.0,21347.3363444,539596717.0
50,5.5310652952,0.0125,2.03517785572,5.5310652952,18571305.1771,3671.52687581,18571305.1771
51,5.43300084479,0.0125,2.01680970961,5.43300084479,4981670.87402,1779.61238734,4981670.87402
52,5.45980450296,0.0125,2.01654211936,5.45980450296,47650825.1543,5198.63540649,47650825.1543
53,5.52350435754,0.0125,2.02217025911,5.52350435754,54001340.7214,6591.36047999,54001340.7214
54,5.52678614445,0.0125,2.02971448629,5.52678614445,21672663.2799,3952.99390157,21672663.2799
55,5.57972302542,0.0125,2.05065445554,5.57972302542,17514147.9753,3454.73880514,17514147.9753
56,5.64035911943,0.0125,2.03880868035,5.64035911943,76216285.894,6904.9579525,76216285.894
57,6.16970622301,0.0125,2.1465700038,6.16970622301,82127120.2578,7277.51289113,82127120.2578
58,5.449064927,0.0125,2.032557226,5.449064927,95823139.9106,7266.90006129,95823139.9106
59,5.45950088946,0.0125,2.01728870215,5.45950088946,59318028.7174,5554.74937057,59318028.7174
