epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,290.882691172,15.0653756559,290.882691172,98.4341316223,9.28364706039,98.4341316223
1,237.78288966,13.2909116298,237.78288966,62.3209924698,7.07709670067,62.3209924698
2,165.847814821,11.0137438327,165.847814821,50.2248566151,6.16547060013,50.2248566151
3,105.429853952,8.76009038091,105.429853952,81.4709653854,8.32657051086,81.4709653854
4,74.8469985812,7.43297022581,74.8469985812,298.912864685,16.9458632469,298.912864685
5,66.8611770471,7.01431664824,66.8611770471,1576.78521729,39.5594558716,1576.78521729
6,65.4477632362,6.97152775526,65.4477632362,16446.6660156,128.207138062,16446.6660156
7,65.5664672178,6.94622090459,65.5664672178,42679.8925781,206.581771851,42679.8925781
8,64.7778169168,6.91586440802,64.7778169168,523952.515625,723.84375,523952.515625
9,65.4070097626,6.89125975966,65.4070097626,14330239.0,3785.51525879,14330239.0
10,64.8467588808,6.8915990293,64.8467588808,132561768.0,11513.4951172,132561768.0
11,64.8128067134,6.88826310635,64.8128067134,1039512896.0,32241.3144531,1039512896.0
12,64.9292726121,6.90763002634,64.9292726121,5079557632.0,71270.4960938,5079557632.0
13,65.5406569587,6.93537053466,65.5406569587,32100170752.0,179164.265625,32100170752.0
14,64.8004489818,6.87811106443,64.8004489818,212281196544.0,460739.296875,212281196544.0
15,65.0750658902,6.87031215429,65.0750658902,1.46899278234e+12,1212020.125,1.46899278234e+12
16,64.8156336399,6.86888480186,64.8156336399,8.64422173082e+12,2939897.125,8.64422173082e+12
17,65.5702436622,6.94298902154,65.5702436622,3.38910804705e+13,5818954.25,3.38910804705e+13
18,64.783426279,6.88575932384,64.783426279,1.11362286027e+14,10537958.5,1.11362286027e+14
19,64.852431397,6.880546242,64.852431397,3.45502696604e+14,17911832.5,3.45502696604e+14
20,64.8483382994,6.88873147964,64.8483382994,4.02189759545e+14,18407969.0,4.02189759545e+14
21,64.9596125267,6.89830881357,64.9596125267,1.33545863545e+15,26988711.5,1.33545863545e+15
22,65.2001792341,6.90527677536,65.2001792341,8.87020563569e+15,92431100.0,8.87020563569e+15
23,64.9500404352,6.89977011085,64.9500404352,3.68489994073e+15,59883234.0,3.68489994073e+15
24,65.3844353156,6.91669651866,65.3844353156,4.38407585491e+15,61446688.0,4.38407585491e+15
25,65.3718748712,6.91658771038,65.3718748712,5.20079643404e+15,71860960.0,5.20079643404e+15
26,67.0657131788,7.00607258081,67.0657131788,8.02072810603e+16,236193656.0,8.02072810603e+16
27,65.4078043548,6.87098875642,65.4078043548,4.14945816609e+15,61534044.0,4.14945816609e+15
28,64.8504714147,6.86063680053,64.8504714147,5.09709383128e+16,196213700.0,5.09709383128e+16
29,64.9240574122,6.87943613529,64.9240574122,2.55424277334e+16,115548829.0,2.55424277334e+16
30,65.4962436957,6.93312096596,65.4962436957,2.01249385399e+17,339822076.0,2.01249385399e+17
31,64.8158196083,6.90509447455,64.8158196083,5.77115142111e+16,229191728.0,5.77115142111e+16
32,64.729212584,6.89654532075,64.729212584,2.46509862702e+17,412812320.0,2.46509862702e+17
33,65.3002953302,6.91144219041,65.3002953302,1.82464239171e+16,122732232.0,1.82464239171e+16
34,65.0543027701,6.89626598358,65.0543027701,9.0504549307e+16,235359760.0,9.0504549307e+16
35,65.0748628993,6.90989622474,65.0748628993,1.23442618738e+16,109278080.0,1.23442618738e+16
36,65.0643724436,6.92862483859,65.0643724436,2.0349618869e+16,117543604.0,2.0349618869e+16
37,65.1766899498,6.92373740673,65.1766899498,1.1532212289e+18,914204032.0,1.1532212289e+18
38,65.3127992679,6.89819228649,65.3127992679,3.28782688561e+16,180331568.0,3.28782688561e+16
39,65.2529306691,6.9134631753,65.2529306691,8.02915987845e+16,232655592.0,8.02915987845e+16
40,64.8161837147,6.90372258425,64.8161837147,5.52344543149e+17,627640776.0,5.52344543149e+17
41,65.0185437561,6.90239447355,65.0185437561,5.23330081364e+16,169420409.0,5.23330081364e+16
42,65.0090696649,6.8843755126,65.0090696649,1.69928061784e+17,411794944.0,1.69928061784e+17
43,65.8520709542,6.95649385452,65.8520709542,3.65663102299e+17,455521452.0,3.65663102299e+17
44,65.4509534319,6.88108152151,65.4509534319,4.00642124074e+16,146981319.0,4.00642124074e+16
45,65.6150482486,6.92001348734,65.6150482486,2.93985847077e+17,518539072.0,2.93985847077e+17
46,66.0762521412,6.9820792973,66.0762521412,2.26160228197e+17,419096912.0,2.26160228197e+17
47,65.3722634549,6.89603859186,65.3722634549,3.73935679744e+16,159939972.0,3.73935679744e+16
48,65.0653467433,6.86719638109,65.0653467433,1.5663993226e+16,123830996.0,1.5663993226e+16
49,65.0127976984,6.91606989503,65.0127976984,9.50433640423e+16,270995180.0,9.50433640423e+16
50,65.0785621298,6.89773374796,65.0785621298,1.23437968899e+17,321091464.0,1.23437968899e+17
51,64.969113207,6.89712205529,64.969113207,1.14476151514e+17,244172427.0,1.14476151514e+17
52,64.8934741658,6.89650711417,64.8934741658,6.04484063545e+17,573352652.0,6.04484063545e+17
53,64.7395708519,6.89526426792,64.7395708519,4.55817083759e+16,212779536.0,4.55817083759e+16
54,65.4464801191,6.9620885253,65.4464801191,2.88445705948e+16,151310216.0,2.88445705948e+16
55,66.6324161179,7.03947687149,66.6324161179,1.17646219459e+16,107189260.0,1.17646219459e+16
56,65.2269392591,6.88586339355,65.2269392591,2.36192148666e+17,469639008.0,2.36192148666e+17
57,65.1431431265,6.87436142564,65.1431431265,1.83035442978e+16,118813328.0,1.83035442978e+16
58,64.8578704977,6.8914000392,64.8578704977,1.67980472356e+17,388095448.0,1.67980472356e+17
59,64.6468595862,6.89227324724,64.6468595862,8.79503348062e+17,686863036.0,8.79503348062e+17
