epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,188.472530572,10.9699319522,188.472530572,152.468875885,12.0920987129,152.468875885
1,182.64238043,10.702968502,182.64238043,140.77407074,11.5984520912,140.77407074
2,175.814887215,10.3594877799,175.814887215,124.30506134,10.8653173447,124.30506134
3,166.816615176,9.95517531236,166.816615176,105.068798065,9.94077038765,105.068798065
4,156.037706223,9.52397081852,156.037706223,76.6875152588,8.39271759987,76.6875152588
5,146.090640185,9.17449378967,146.090640185,45.6296811104,6.27534651756,45.6296811104
6,135.563689081,8.81169497172,135.563689081,14.543974027,2.87997198105,14.543974027
7,125.619899035,8.4215578874,125.619899035,7.85857635736,2.49995136261,7.85857635736
8,113.019768677,7.93148790995,113.019768677,52.2476234436,6.78219509125,52.2476234436
9,104.072382166,7.46486641566,104.072382166,267.645965576,16.1677742004,267.645965576
10,95.7956200719,7.15510327021,95.7956200719,966.664764404,30.9905948639,966.664764404
11,90.0284458637,7.0450671196,90.0284458637,2101.21704102,45.7708511353,2101.21704102
12,81.7220683351,6.60787814458,81.7220683351,4602.72753906,67.7973823547,4602.72753906
13,77.3357695904,6.38877153397,77.3357695904,12652.0820313,112.453731537,12652.0820313
