epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,183.104013824,0.01,10.070752124,169.711596059,100.484292984,9.47664356232,96.0567131042
1,102.861474395,0.01,7.02334451675,100.636330243,20.6121952534,3.6688041687,19.7101199031
2,73.1708629608,0.01,7.02994060516,72.7113429775,6.51166629791,2.5,6.32222032547
3,73.6160804113,0.01,7.73754049937,73.5105799357,6.40198636055,2.5,6.36501908302
4,65.5922419707,0.01,6.98523693085,65.5697619597,10.6687174812,2.5,10.6596768573
5,70.6373568376,0.01,6.79684664408,70.632408313,10.0988855958,2.5,10.0967834741
6,72.6039591938,0.01,7.07102737427,72.6028802713,7.88266819715,2.5,7.8822259903
7,71.7414256414,0.01,7.20813630422,71.7411967595,7.98282402754,2.5,7.98272973299
8,71.31745193,0.01,7.16917394002,71.3174039841,6.7018083334,2.5,6.7017878294
9,78.4261632343,0.01,7.32096621195,78.4261564811,12.3434066307,2.5,12.3434036435
10,69.9709547361,0.01,6.97122211456,69.9709537665,7.77870160341,2.5,7.77870070934
11,77.2435027122,0.01,7.74315013885,77.2435027122,6.81043624878,2.5,6.81043624878
12,72.8597844467,0.01,7.01574452718,72.8597844432,12.6978792584,2.53926753998,12.6978792386
13,71.2844891389,0.01,7.01309185028,71.2844891389,8.38230490685,2.5,8.38230490685
14,69.9442737659,0.01,7.26632334391,69.9442737659,6.47875618935,2.5,6.47875618935
15,64.868294541,0.005,7.05821444194,64.868294541,7.55415809155,2.5,7.55415809155
16,70.4709920724,0.005,7.05679785411,70.4709920724,7.71810925007,2.5,7.71810925007
17,70.0456775506,0.005,7.14149328868,70.0456775506,7.83803081512,2.5,7.83803081512
18,66.0309153914,0.005,6.92427164714,66.0309153914,9.41406157613,2.5,9.41406157613
19,67.8566541135,0.005,7.02376855214,67.8566541135,7.8558549881,2.5,7.8558549881
20,69.8000485102,0.005,7.12403831482,69.8000485102,9.06239619851,2.5,9.06239619851
21,73.662018007,0.005,6.93341566722,73.662018007,8.80137228966,2.5,8.80137228966
22,71.0580018679,0.005,7.14980926514,71.0580018679,8.46111381054,2.5,8.46111381054
23,68.0637241455,0.005,6.93331553141,68.0637241455,7.9979878664,2.5,7.9979878664
24,70.8613762856,0.005,7.23520476023,70.8613762856,9.10950362682,2.5,9.10950362682
25,74.2671139558,0.0025,7.0322704951,74.2671139558,9.88963095844,2.5,9.88963095844
26,65.8687117736,0.0025,6.77915509542,65.8687117736,8.68243214488,2.5,8.68243214488
27,70.0242128185,0.0025,6.72498925527,70.0242128185,8.98572987318,2.5,8.98572987318
28,70.1027501663,0.0025,6.99779364268,70.1027501663,9.23389661312,2.5,9.23389661312
29,71.8025044918,0.0025,7.11292228699,71.8025044918,8.33355051279,2.5,8.33355051279
30,68.5377426465,0.0025,7.05694637299,68.5377426465,7.60095906258,2.5,7.60095906258
31,75.9148918152,0.0025,7.5828719457,75.9148918152,8.17012298107,2.5,8.17012298107
32,67.5260568301,0.0025,7.22039807638,67.5260568301,8.16753095388,2.5,8.16753095388
33,74.8617274125,0.0025,7.09095611572,74.8617274125,9.1728605032,2.5,9.1728605032
34,69.5684979439,0.0025,7.38594347636,69.5684979439,8.22694885731,2.5,8.22694885731
35,74.9069067359,0.00125,7.26577421824,74.9069067359,8.81094738841,2.5,8.81094738841
36,69.9189438303,0.00125,6.94757328033,69.9189438303,8.90714919567,2.5,8.90714919567
37,64.890343531,0.00125,6.79532038371,64.890343531,8.83824294806,2.5,8.83824294806
38,71.1535617034,0.00125,7.14441337585,71.1535617034,8.38369750977,2.5,8.38369750977
39,63.9528777281,0.00125,6.60855013529,63.9528777281,8.37761694193,2.5,8.37761694193
40,79.0742871205,0.00125,7.26506468455,79.0742871205,8.40412348509,2.5,8.40412348509
41,65.1616887252,0.00125,6.83737697601,65.1616887252,8.55890899897,2.5,8.55890899897
42,74.3136945089,0.00125,7.16418011983,74.3136945089,8.49019157887,2.5,8.49019157887
43,70.0581733584,0.00125,7.0677734375,70.0581733584,8.43240332603,2.5,8.43240332603
44,67.018821462,0.00125,6.82337309519,67.018821462,8.17077052593,2.5,8.17077052593
45,65.6217918972,0.000625,6.66843846639,65.6217918972,8.35271531343,2.5,8.35271531343
46,66.0095223745,0.000625,6.93963432312,66.0095223745,8.32121831179,2.5,8.32121831179
47,66.4278348923,0.000625,6.93410949707,66.4278348923,8.19290137291,2.5,8.19290137291
48,68.1730159918,0.000625,6.92421830495,68.1730159918,8.17079436779,2.5,8.17079436779
49,64.484648184,0.000625,6.91259899139,64.484648184,8.19855487347,2.5,8.19855487347
50,69.1748743455,0.000625,7.09256509145,69.1748743455,8.25198739767,2.5,8.25198739767
51,67.8551537355,0.000625,7.06769205729,67.8551537355,8.22358220816,2.5,8.22358220816
52,65.9523576895,0.000625,7.08574142456,65.9523576895,8.17866629362,2.5,8.17866629362
53,68.8999965509,0.000625,7.15847593943,68.8999965509,8.41062057018,2.5,8.41062057018
54,66.1466780603,0.000625,6.80310999552,66.1466780603,8.44005978107,2.5,8.44005978107
