epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,227.811192067,10.981671381,188.560498949,176.04001236,12.2996473312,157.531322479
1,197.674683762,10.7552535613,183.899209017,160.363052368,12.055079937,151.574951172
2,184.310918935,10.5106743733,178.481006936,148.377380371,11.7748737335,144.897651672
3,174.171853487,10.1749274969,171.798625442,137.349967957,11.3888158798,135.955123901
4,165.347509964,9.8858433644,164.409728972,127.189937592,10.9720458984,126.635787964
5,153.986426687,9.51390390396,153.614432108,115.985712051,10.4649791718,115.765789032
6,144.955494763,9.13174271584,144.806181168,106.427957535,10.0044076443,106.338172913
7,136.314686553,8.83919157982,136.25272911,93.5627613068,9.34207510948,93.5243644714
8,125.896730057,8.40737392108,125.869567378,81.72615242,8.68669128418,81.7086048126
9,116.461806524,8.05771212578,116.448999921,72.4265565872,8.13436412811,72.4178791046
10,109.84780192,7.73001969655,109.841265033,61.6361694336,7.44187831879,61.6315517426
11,101.736923471,7.45117009481,101.733358074,51.7233991623,6.74320435524,51.7208032608
12,92.3308529591,6.92836825053,92.3288155074,43.996088028,6.14366173744,43.9945778847
13,89.007552882,6.84754546483,89.006359903,37.7540016174,5.61276268959,37.7531051636
14,82.7396706223,6.66491422653,82.7389632424,30.4116134644,4.91539239883,30.4110825062
15,79.8410932745,6.39442526499,79.84067134,26.4164811373,4.49067497253,26.4161621332
16,74.7316737036,6.4194770813,74.7314213991,24.0113272667,4.21439647675,24.0111368895
17,72.6111248508,6.54108244578,72.6109727984,19.6116265655,3.6553401947,19.6115125418
18,75.5541692594,6.47448660533,75.5540799521,17.6089796722,3.37029838562,17.6089113653
19,71.1838930987,6.50057309469,71.1838398874,15.0113693252,2.95995426178,15.0113289654
20,72.6840668718,6.77860705058,72.6840327462,13.6879797839,2.72726154327,13.6879552137
21,70.9203848584,6.68427327474,70.9203673842,13.2089806059,2.63798522949,13.2089656861
