epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,305.582762636,14.7688045837,305.582762636,645.850616455,25.4095029831,645.850616455
1,297.732022356,14.520774506,297.732022356,657.631896973,25.6408967972,657.631896973
2,290.680632127,14.2546112165,290.680632127,682.451629639,26.1202344894,682.451629639
3,280.643324714,13.9347985759,280.643324714,719.542602539,26.8204221725,719.542602539
4,272.449914854,13.6939681768,272.449914854,799.905273438,28.2779197693,799.905273438
5,263.434505524,13.3526524007,263.434505524,927.942779541,30.455704689,927.942779541
6,254.034220339,13.0160538554,254.034220339,1116.80993652,33.4067211151,1116.80993652
7,243.067675423,12.724097997,243.067675423,1496.46502686,38.6661605835,1496.46502686
8,234.016383169,12.425323084,234.016383169,2018.54125977,44.879611969,2018.54125977
9,221.073897719,12.1511938423,221.073897719,2966.5871582,54.3717079163,2966.5871582
10,213.649598572,11.8066090941,213.649598572,4751.66149902,68.756023407,4751.66149902
11,199.091448113,11.4539060593,199.091448113,7459.91503906,85.9922103882,7459.91503906
12,189.096452534,11.0644640625,189.096452534,11944.7133789,108.02035141,11944.7133789
13,183.168763801,11.0068436563,183.168763801,20036.0805664,139.80047226,20036.0805664
14,174.492626518,10.5918573439,174.492626518,33171.8583984,179.233840942,33171.8583984
15,164.554591872,10.3977485299,164.554591872,59109.9941406,240.245727539,59109.9941406
16,157.107481608,10.0001855493,157.107481608,94274.1132813,302.44669342,94274.1132813
17,141.509089381,9.59797227383,141.509089381,138366.246094,362.987503052,138366.246094
18,137.802957356,9.46031051874,137.802957356,208442.710938,450.978744507,208442.710938
19,130.486381888,9.13168996572,130.486381888,309975.507813,543.810073853,309975.507813
20,120.953620709,8.7120988965,120.953620709,544415.03125,727.202911377,544415.03125
21,118.390849765,8.64374285936,118.390849765,1050169.25,1022.35153198,1050169.25
22,117.695582673,8.69831931591,117.695582673,1781948.0,1333.89996338,1781948.0
23,120.478652213,8.75518339872,120.478652213,2636992.125,1620.97839355,2636992.125
24,105.027380029,8.08003091812,105.027380029,3601716.25,1878.87664795,3601716.25
25,105.669439688,7.96645253897,105.669439688,6963805.75,2617.53369141,6963805.75
26,105.624242771,8.1509719491,105.624242771,10145766.5,3106.81176758,10145766.5
27,102.813892396,7.91300195456,102.813892396,18195477.0,4162.03051758,18195477.0
28,102.688121873,8.17998230457,102.688121873,34193865.0,5691.66723633,34193865.0
29,97.5541143883,7.84707510471,97.5541143883,57076532.0,6983.89624023,57076532.0
30,89.5882135779,7.51562285423,89.5882135779,73969607.5,7668.04870605,73969607.5
