epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,6818.68186188,0.1,11.6827291648,211.383586311,112.218255471,7.5,112.210155742
1,286.944452985,0.1,9.89624013901,138.140103308,4890.01928711,29.5961503983,915.057617188
2,3743.12639974,0.1,11.9849054019,229.173761169,1165.94921875,6.61813116074,47.9807605743
3,3165.13149414,0.1,14.4049366951,324.736317166,2265.49108887,6.63816738129,84.3471500017
4,2963.12832031,0.1,13.4206662814,205.588963763,12585.8183594,98.8170814514,9779.56933594
5,3203.81829427,0.1,18.6131865184,464.823672893,78841.71875,275.084075928,75944.0585938
6,2979.82387695,0.1,12.3785994053,268.598202089,5248.51660156,49.2910652161,2431.50671387
7,2942.65135091,0.1,13.4167689641,251.521805127,1331413.6875,1152.54724121,1328676.8125
8,3080.19075521,0.1,16.7118614197,398.421972577,7257.1887207,59.3648109436,4562.92993164
9,2995.00792643,0.1,13.6591571172,316.459232823,4670037.75,2160.05749512,4667359.75
10,2940.11217448,0.1,11.8617540359,261.354739709,1164794.6875,1077.94158936,1162117.6875
11,2904.98470052,0.1,12.5486773173,225.852732921,4985301.75,2230.82409668,4982623.75
12,727.205714357,0.01,13.5973262469,251.733405966,85.2552182674,7.5,85.079968214
13,151.072555414,0.01,10.0707710266,151.05463038,57.2173194885,7.5,57.2173194885
14,76.8148771485,0.01,6.67117668788,76.8148771485,66.2712945938,7.5,66.2712945938
15,196.836312439,0.01,12.1626532873,196.836312439,61.3743228912,7.5,61.3743228912
16,218.197300478,0.01,12.576860714,218.197300462,60.799996376,7.5,60.7999868393
17,190.072356478,0.01,10.0107514381,151.036995951,76.2405595779,7.5,75.8327383995
18,174.866392527,0.01,8.38546832403,147.469133485,85.1240844727,7.49975776672,79.0836117268
19,269.416640472,0.01,13.734331735,243.622255325,123.604769707,7.4949016571,107.669495258
20,265.722687658,0.01,12.3923538208,239.141645877,1172.37680054,33.0540952682,1148.37420654
21,158.847776667,0.01,8.866969649,131.788127931,1439.0291748,36.8411483765,1411.56268311
22,195.419573339,0.01,10.4852878253,168.343362383,5829.81884766,75.802947998,5801.98779297
23,147.836282349,0.01,9.57641156514,120.895710754,5161.49182129,71.2555122375,5134.04663086
24,142.678488032,0.01,9.14466660817,115.836285088,17339.9912109,131.338005066,17312.9575195
25,320.332349714,0.001,14.6150939306,315.525761074,78.4681391716,7.5,78.4663357735
26,215.552541384,0.001,12.1682756742,215.552360186,77.1519417763,7.5,77.1519417763
27,220.954326566,0.001,12.8946421305,220.954326566,74.5452752113,7.5,74.5452752113
28,264.99050312,0.001,13.7668668111,264.99050312,73.7808756828,7.5,73.7808756828
29,167.921471238,0.001,10.4673675537,167.921471238,72.5462803841,7.5,72.5462803841
30,194.703589818,0.001,10.7652142207,194.31315297,71.3299694061,7.5,71.325920105
31,167.562262344,0.001,11.5208326976,167.28883667,74.3053898811,7.50000047684,74.2450833321
32,247.391373952,0.001,13.3441810926,247.133990987,72.711684227,7.49999904633,72.5532374382
33,217.331026967,0.001,11.7257923762,217.065541252,74.5568685532,7.50007581711,74.3175573349
34,247.580322393,0.001,13.6392285347,247.309765752,68.2931718826,7.5000333786,68.0193681717
35,240.298122177,0.0001,12.3827563604,240.249903972,71.3620262146,7.5,71.362010479
36,207.461030388,0.0001,12.3174545924,207.461028862,70.9789075851,7.5,70.9789075851
37,152.904820124,0.0001,10.6843978246,152.904820124,71.0495648384,7.5,71.0495648384
38,158.897015603,0.0001,11.0005895615,158.897015603,70.9157171249,7.5,70.9157171249
39,172.992002642,0.0001,10.8484794617,172.992002642,71.0668010712,7.5,71.0668010712
40,106.023893905,0.0001,8.66277345022,106.019985431,71.0396761894,7.5,71.039642334
41,139.905405442,0.0001,9.59638255437,139.902671035,71.0410814285,7.5,71.0404968262
42,152.864044571,0.0001,9.4025422732,152.861478468,70.8481984138,7.5,70.8466353416
43,234.22975222,0.0001,11.495267868,234.227105129,70.5203127861,7.5,70.5179376602
44,209.699708378,0.0001,10.7231604258,209.697006094,70.9873723984,7.5,70.984650135
45,159.465793163,0.0001,10.127391847,159.463095775,71.2809691429,7.5,71.27820158
46,115.369149155,0.0001,7.78751060168,115.366467385,71.3340220451,7.49999952316,71.3312892914
47,179.034433746,0.0001,11.5617094676,179.031759644,71.2284340858,7.5,71.2257432938
48,199.954963422,0.0001,11.4180985769,199.952293956,71.1128058434,7.5,71.1101326942
49,212.711951326,0.0001,12.1870711644,212.70928736,70.8062429428,7.49999952316,70.8035721779
