epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,118.436409946,0.1,7.9906211853,118.436409946,14.863885792,2.80319070816,14.863885792
1,159.087780778,0.1,10.3993003527,159.087780778,17.6451348066,3.23403072357,17.6451348066
2,130.198842681,0.1,9.50797487895,130.198842681,66.469748497,7.66842865944,66.469748497
3,61.3830170151,0.1,6.25280777613,61.3830170151,10.6465923786,3.13470315933,10.6465923786
4,107.814792495,0.1,7.98580554326,107.814792495,11.0466651917,3.32216644287,11.0466651917
5,87.8480915546,0.1,7.71433108648,87.8480915546,16.0069784224,3.23108005524,16.0069784224
6,108.856054095,0.1,8.25684874852,108.856054095,17.8498770297,3.32890319824,17.8498770297
7,97.7669375181,0.1,7.36204257011,97.7669375181,9.28624117374,2.87113523483,9.28624117374
8,88.8692347586,0.1,7.65354817708,88.8692347586,16.0727049112,3.43730258942,16.0727049112
9,77.1586649259,0.1,7.85476996104,77.1586649259,2.52547417581,1.41149711609,2.52547417581
10,97.1405435403,0.1,7.42295373281,97.1405435403,120.894105911,10.4365472794,120.894105911
11,108.651387351,0.1,7.85778716405,108.651387351,957.465881348,30.7070846558,957.465881348
12,88.4999553879,0.1,7.46251850128,88.4999553879,334.898986816,17.8191785812,334.898986816
13,88.0885507743,0.1,7.81662743886,88.0885507743,804.856872559,27.3306570053,804.856872559
